Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;20,00;14,00;6,00;23,00;5,00;36,25;5,00;0,00;11,25;4,29;61,43;47,14;17,14;3,53;9,41;37,65;0,00;5,88;12,94;12,94;11,76
2019-01-13;25,00;21,00;5,00;16,00;3,00;35,71;3,57;2,38;14,29;5,56;44,44;54,17;13,89;6,82;4,55;40,91;2,27;50,00;12,50;13,64;10,23
2019-01-20;33,00;21,00;5,00;20,00;10,00;26,89;4,89;4,89;8,56;4,13;42,63;49,50;9,63;5,89;4,71;58,93;4,71;17,07;4,55;18,21;15,93
2019-01-27;35,00;18,00;8,00;20,00;5,00;30,17;4,83;4,83;14,48;0,00;36,40;54,60;7,00;2,33;2,33;58,33;2,33;3,39;30,48;6,77;18,06
2019-02-03;40,00;19,00;6,00;12,00;3,00;36,25;6,25;3,75;15,00;2,76;49,66;51,03;5,52;2,35;8,24;41,18;2,35;6,86;37,71;2,29;16,00
2019-02-10;33,00;21,00;14,00;15,00;8,00;30,56;11,00;2,44;23,22;5,50;46,75;41,25;6,88;3,41;6,83;39,83;3,41;1,14;45,52;9,10;17,07
2019-02-17;63,00;34,00;8,00;27,00;7,00;32,71;12,12;0,00;16,96;8,22;49,30;69,85;9,59;4,67;2,33;49,00;7,00;6,75;37,13;5,63;15,75
2019-02-24;44,00;24,00;11,00;5,00;8,00;33,00;6,11;3,67;12,22;4,13;50,88;57,75;5,50;5,79;3,47;44,00;4,63;4,51;27,08;6,77;15,79
2019-03-03;49,00;23,00;4,00;10,00;5,00;37,98;8,58;2,45;29,40;4,20;32,20;78,40;4,20;3,50;2,33;43,17;3,50;4,56;18,23;10,26;14,81
2019-03-10;47,00;23,00;6,00;16,00;3,00;38,34;4,95;4,95;12,37;4,15;30,41;64,97;5,53;4,70;2,35;47,00;1,18;5,73;25,22;6,88;13,76
2019-03-17;58,00;34,00;11,00;8,00;6,00;38,26;7,40;4,94;16,04;9,90;48,10;66,49;8,49;5,80;1,16;49,88;3,48;3,48;20,88;5,80;22,04
2019-03-24;70,00;36,00;15,00;18,00;10,00;52,81;7,37;3,68;19,65;2,80;42,00;77,00;5,60;3,50;3,50;38,50;9,33;3,44;18,36;5,74;25,25
2019-03-31;46,00;24,00;4,00;25,00;5,00;48,49;13,68;2,49;14,92;13,94;26,48;69,70;8,36;2,36;1,18;61,33;2,36;3,45;6,90;16,10;13,80
2019-04-07;53,00;31,00;9,00;20,00;9,00;40,95;7,23;2,41;12,05;13,95;39,05;66,95;22,32;4,61;2,30;50,70;4,61;3,38;6,77;18,04;10,15
2019-04-14;57,00;33,00;9,00;36,00;11,00;53,36;9,70;2,43;20,62;4,17;44,49;80,63;16,68;10,47;2,33;67,47;3,49;4,56;5,70;36,48;20,52
2019-04-21;43,00;28,00;10,00;24,00;15,00;60,20;11,06;4,91;15,97;4,16;40,23;69,35;13,87;4,65;2,32;68,57;8,14;9,05;6,79;21,50;19,24
