Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;52,00;19,16;6,84;26,00;5,47;18,00;6,00;21,00;1,00;4,00;3,00;5,00;3,00;3,00;1,00;1,00;2,00;1,00;0,50;0,00;1,00
2019-01-13;50,00;18,06;5,56;23,61;6,94;20,00;8,00;18,00;2,00;4,00;3,00;5,00;3,00;3,00;1,00;0,50;2,00;1,00;0,50;0,50;0,50
2019-01-20;50,00;22,22;6,94;22,22;6,94;18,00;7,00;21,00;1,00;2,00;3,00;5,00;2,00;5,00;1,00;1,00;1,00;2,00;0,50;0,50;1,00
2019-01-27;44,00;24,13;5,68;26,97;8,52;17,00;7,00;19,00;2,00;3,00;5,00;4,00;3,00;2,00;1,00;1,00;2,00;1,00;0,50;1,00;1,00
2019-02-03;40,00;26,21;6,90;26,21;6,90;16,00;9,00;17,00;3,00;6,00;5,00;4,00;3,00;3,00;1,00;1,00;2,00;2,00;0,00;1,00;2,00
2019-02-10;38,00;22,52;11,26;29,56;9,85;20,00;8,00;22,00;3,00;5,00;6,00;6,00;4,00;4,00;0,50;2,00;3,00;2,00;0,50;0,50;1,00
2019-02-17;43,00;36,06;12,48;37,45;11,10;18,00;9,00;23,00;2,00;4,00;4,00;5,00;5,00;4,00;1,00;3,00;3,00;2,00;0,50;1,00;3,00
2019-02-24;49,00;32,20;15,40;26,60;9,80;20,00;11,00;21,00;1,00;4,00;6,00;7,00;5,00;5,00;2,00;1,00;2,00;3,00;0,50;1,00;1,00
2019-03-03;45,00;28,13;12,66;29,53;8,44;17,00;7,00;20,00;1,00;5,00;3,00;6,00;3,00;4,00;2,00;2,00;2,00;2,00;0,00;0,50;1,00
2019-03-10;46,00;25,09;9,76;23,70;8,36;21,00;9,00;19,00;2,00;4,00;4,00;5,00;2,00;4,00;2,00;1,00;2,00;1,00;0,50;1,00;1,00
2019-03-17;53,00;27,89;15,34;32,08;8,37;22,00;11,00;24,00;2,00;5,00;5,00;4,00;5,00;5,00;1,00;2,00;3,00;2,00;0,50;1,00;2,00
2019-03-24;51,00;32,58;14,17;31,17;8,50;20,00;10,00;19,00;1,00;4,00;5,00;7,00;4,00;7,00;1,00;1,00;2,00;2,00;0,50;0,50;2,00
