Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;51,00;29,00;34,00;26,00;26,00;24,00;19,00;18,00;18,00;28,00;17,00;5,00;14,00;9,00;15,00;17,00;12,00;6,00;14,00;7,00;8,00;17,00;7,00;18,00;9,00;0,50;4,00;6,00
2019-01-13;48,00;25,00;39,00;24,00;23,00;28,00;16,00;15,00;14,00;28,00;15,00;6,00;19,00;6,00;14,00;19,00;12,00;7,00;10,00;13,00;12,00;14,00;7,00;21,00;14,00;3,00;5,00;8,00
2019-01-20;47,00;29,00;36,00;33,00;19,00;23,00;17,00;15,00;13,00;19,00;17,00;7,00;16,00;11,00;24,00;18,00;12,00;11,00;16,00;9,00;10,00;15,00;5,00;28,00;15,00;3,00;6,00;11,00
2019-01-27;49,00;24,00;34,00;31,00;26,00;25,00;19,00;20,00;12,00;25,00;15,00;8,00;20,00;12,00;13,00;17,00;11,00;6,00;15,00;10,00;12,00;7,00;7,00;31,00;15,00;1,00;8,00;8,00
2019-02-03;51,00;24,00;50,00;26,00;32,00;32,00;20,00;20,00;15,00;24,00;17,00;12,00;15,00;16,00;17,00;15,00;12,00;9,00;12,00;8,00;12,00;4,00;8,00;31,00;18,00;3,00;11,00;12,00
2019-02-10;48,00;30,00;36,00;32,00;28,00;25,00;18,00;13,00;14,00;23,00;14,00;12,00;22,00;7,00;17,00;28,00;17,00;6,00;19,00;12,00;16,00;7,00;9,00;25,00;17,00;3,00;8,00;7,00
2019-02-17;48,00;23,00;41,00;31,00;27,00;25,00;17,00;17,00;15,00;26,00;18,00;16,00;22,00;7,00;18,00;34,00;11,00;5,00;16,00;9,00;14,00;5,00;7,00;27,00;14,00;3,00;7,00;5,00
2019-02-24;52,00;24,00;34,00;28,00;29,00;30,00;34,00;15,00;13,00;24,00;15,00;12,00;14,00;6,00;17,00;19,00;13,00;6,00;11,00;10,00;10,00;5,00;9,00;21,00;14,00;2,00;8,00;3,00
2019-03-03;57,00;27,00;32,00;26,00;27,00;26,00;17,00;18,00;12,00;16,00;13,00;7,00;15,00;13,00;12,00;20,00;10,00;5,00;10,00;8,00;9,00;5,00;6,00;20,00;17,00;0,00;7,00;7,00
2019-03-10;49,00;24,00;35,00;25,00;30,00;31,00;25,00;16,00;12,00;20,00;11,00;7,00;14,00;6,00;13,00;20,00;10,00;3,00;13,00;7,00;6,00;2,00;4,00;11,00;6,00;1,00;7,00;3,00
