Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;25,00;102,78;77,78;136,11;5,56;10,00;17,00;4,00;5,00
2019-01-13;30,00;106,36;79,09;125,45;2,73;3,00;24,00;5,00;5,00
2019-01-20;28,00;100,80;78,40;126,00;2,80;6,00;26,00;3,00;7,00
2019-01-27;19,00;100,43;73,29;95,00;5,43;2,00;21,00;7,00;3,00
2019-02-03;23,00;97,11;76,67;81,78;2,56;6,00;23,00;6,00;7,00
2019-02-10;29,00;97,55;63,27;92,27;5,27;7,00;21,00;4,00;5,00
2019-02-17;32,00;82,67;61,33;109,33;2,67;6,00;37,00;4,00;3,00
2019-02-24;25,00;108,33;69,44;100,00;5,56;6,00;21,00;9,00;3,00
2019-03-03;24,00;101,33;58,67;98,67;5,33;5,00;20,00;6,00;4,00
2019-03-10;28,00;78,40;58,80;89,60;2,80;7,00;21,00;9,00;5,00
2019-03-17;27,00;81,00;62,10;94,50;5,40;3,00;26,00;10,00;5,00
2019-03-24;29,00;81,73;50,09;102,82;5,27;4,00;32,00;4,00;6,00
2019-03-31;23,00;71,56;48,56;99,67;2,56;4,00;20,00;6,00;4,00
2019-04-07;18,00;74,57;54,00;108,00;2,57;4,00;24,00;5,00;5,00
2019-04-14;23,00;80,50;57,50;109,25;2,88;7,00;25,00;3,00;4,00
2019-04-21;26,00;80,60;49,40;93,60;2,60;1,00;23,00;6,00;1,00
2019-04-28;22,00;66,00;46,75;112,75;5,50;5,00;22,00;7,00;4,00
2019-05-05;24,00;64,00;48,00;125,33;2,67;2,00;22,00;4,00;7,00
2019-05-12;20,00;57,50;37,50;107,50;2,50;4,00;21,00;9,00;5,00
2019-05-19;19,00;57,00;43,43;100,43;2,71;3,00;22,00;3,00;3,00
2019-05-26;27,00;59,40;37,80;105,30;2,70;2,00;21,00;9,00;2,00
2019-06-02;22,00;55,00;30,25;107,25;2,75;2,00;22,00;3,00;3,00
2019-06-09;29,00;63,27;44,82;110,73;2,64;4,00;30,00;5,00;3,00
2019-06-16;36,00;72,00;41,54;105,23;2,77;3,00;25,00;3,00;4,00
2019-06-23;22,00;74,25;49,50;107,25;2,75;5,00;39,00;5,00;4,00
2019-06-30;33,00;68,75;52,25;104,50;2,75;4,00;35,00;3,00;6,00
2019-07-07;26,00;59,80;39,00;109,20;2,60;5,00;28,00;4,00;5,00
2019-07-14;29,00;73,82;50,09;123,91;5,27;2,00;23,00;4,00;2,00
