Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;43,00;291,44;33,44;43,00;81,22;46,00;35,00;27,00;34,00;20,00;32,00;4,00;8,00
2019-01-13;41,00;273,33;27,33;41,00;72,89;47,00;40,00;28,00;40,00;23,00;30,00;6,00;6,00
2019-01-20;40,00;262,22;26,67;44,44;71,11;48,00;43,00;23,00;33,00;20,00;33,00;5,00;6,00
2019-01-27;35,00;271,25;30,63;39,38;48,13;45,00;48,00;16,00;32,00;20,00;32,00;7,00;5,00
2019-02-03;33,00;311,14;33,00;42,43;61,29;57,75;38,16;15,47;37,13;20,00;32,00;7,00;5,00
2019-02-10;31,00;287,86;35,43;44,29;53,14;51,67;37,20;15,50;37,20;24,00;32,00;7,00;7,00
2019-02-17;35,00;288,75;35,00;43,75;56,88;51,00;41,00;13,00;35,00;27,00;31,00;7,00;7,00
2019-02-24;40,00;288,89;31,11;44,44;57,78;63,59;46,15;17,44;40,00;26,00;26,00;8,00;6,00
2019-03-03;37,00;291,38;27,75;41,63;60,13;52,42;46,25;15,42;35,97;30,00;31,00;7,00;6,00
2019-03-10;37,00;291,38;27,75;46,25;60,13;48,00;39,00;13,00;38,00;22,00;30,00;5,00;5,00
2019-03-17;43,00;324,89;33,44;43,00;57,33;56,00;37,00;15,00;33,00;20,00;30,00;6,00;6,00
2019-03-24;41,00;287,00;31,89;45,56;59,22;56,00;38,00;14,00;34,00;25,00;31,00;7,00;6,00
2019-03-31;49,00;316,27;35,64;40,09;84,64;54,10;44,92;27,56;34,71;26,00;45,00;8,00;7,00
2019-04-07;49,00;316,27;31,18;49,00;71,27;56,15;46,96;30,63;37,77;28,00;36,00;9,00;9,00
2019-04-14;54,00;450,00;40,50;45,00;67,50;60,11;43,81;32,60;40,75;30,00;46,00;9,00;11,00
2019-04-21;56,00;340,67;32,67;51,33;70,00;57,00;38,00;36,00;30,00;31,00;28,00;8,00;8,00
2019-04-28;54,00;310,50;31,50;54,00;63,00;60,00;40,00;33,00;35,00;25,00;32,00;7,00;10,00
2019-05-05;47,00;286,70;32,90;47,00;61,10;55,00;37,00;26,00;33,00;26,00;31,00;8,00;7,00
2019-05-12;51,00;292,09;32,45;46,36;60,27;53,00;39,00;30,00;34,00;24,00;26,00;7,00;7,00
2019-05-19;48,00;292,80;33,60;48,00;72,00;53,00;41,00;26,00;32,00;25,00;29,00;7,00;6,00
2019-05-26;53,00;304,75;30,92;44,17;66,25;57,00;42,00;28,00;34,00;22,00;31,00;12,00;10,00
2019-06-02;52,00;316,73;33,09;47,27;66,18;61,00;45,00;28,00;33,00;30,00;29,00;11,00;10,00
2019-06-09;55,00;320,83;32,08;45,83;68,75;65,00;44,00;35,00;34,00;32,00;32,00;12,00;10,00
2019-06-16;66,00;353,57;33,00;56,57;75,43;69,00;47,00;29,00;35,00;33,00;33,00;10,00;10,00
2019-06-23;65,00;357,50;37,14;41,79;74,29;71,09;40,63;30,47;35,55;30,00;28,00;10,00;8,00
2019-06-30;67,00;330,53;31,27;53,60;80,40;71,06;43,65;30,45;36,55;35,00;35,00;11,00;12,00
