Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;23,00;0,00;6,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;41,00;6,00;0,00;0,00;62,73;0,00;0,00;23,00;0,00;6,00
2019-01-13;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;23,00;0,00;0,00;6,00;0,00;6,00
2019-01-20;35,00;12,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;23,00;0,00;0,00;0,00;41,56;0,00;0,00;0,00;6,00;6,00
2019-01-27;39,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;22,00;0,00;0,00;0,00;39,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;34,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;40,00;0,00;0,00;0,00;27,63;0,00;0,00;0,00;11,00;11,00
2019-02-10;29,00;12,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;49,71;0,00;0,00;0,00;6,00;6,00
2019-02-17;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;0,00;49,50;0,00;0,00;0,00;0,00;0,00
2019-02-24;35,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;17,00;0,00;0,00;0,00;52,50;0,00;0,00;0,00;0,00;12,00
2019-03-03;40,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;57,00;0,00;0,00;0,00;67,37;0,00;0,00;0,00;6,00;12,00
2019-03-10;70,00;12,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,00;17,00;0,00;0,00;0,00;65,63;0,00;0,00;0,00;0,00;6,00
2019-03-17;47,00;0,00;18,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;12,00;47,00;0,00;0,00;0,00;53,41;0,00;0,00;6,00;0,00;12,00
2019-03-24;18,00;6,00;6,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;18,00;0,00;0,00;13,50;69,75;0,00;6,00;0,00;0,00;6,00
2019-03-31;29,00;0,00;18,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;12,00;35,00;0,00;0,00;0,00;51,79;0,00;0,00;6,00;0,00;12,00
2019-04-07;77,00;6,00;12,00;0,00;0,00;6,00;0,00;6,00;0,00;12,00;18,00;6,00;0,00;0,00;0,00;70,58;0,00;0,00;0,00;0,00;6,00
2019-04-14;81,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,00;0,00;0,00;0,00;76,62;0,00;0,00;0,00;19,00;6,00
2019-04-21;42,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60,00;0,00;0,00;6,63;55,26;0,00;0,00;0,00;0,00;6,00
2019-04-28;46,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;12,00;0,00;0,00;0,00;41,62;0,00;0,00;0,00;0,00;12,00
2019-05-05;41,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;12,00;53,00;0,00;6,47;0,00;82,00;0,00;0,00;6,00;6,00;12,00
2019-05-12;47,00;6,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00;0,00;81,18;0,00;6,00;6,00;0,00;12,00
2019-05-19;47,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;12,00;65,00;0,00;0,00;0,00;81,18;0,00;0,00;6,00;6,00;6,00
2019-05-26;57,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;23,00;0,00;0,00;0,00;122,77;0,00;0,00;6,00;0,00;6,00
2019-06-02;72,00;0,00;6,00;0,00;0,00;17,00;0,00;6,00;0,00;0,00;5,00;88,00;0,00;6,55;0,00;218,18;0,00;0,00;0,00;0,00;0,00
2019-06-09;28,00;11,00;11,00;0,00;0,00;6,00;0,00;6,00;23,00;6,00;0,00;28,00;0,00;0,00;0,00;96,92;0,00;0,00;11,00;0,00;0,00
2019-06-16;58,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,00;41,00;6,00;0,00;0,00;47,26;0,00;0,00;0,00;0,00;12,00
2019-06-23;47,00;6,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;12,00;6,00;58,00;0,00;0,00;0,00;47,00;0,00;0,00;6,00;0,00;12,00
2019-06-30;76,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;82,00;0,00;0,00;0,00;99,89;6,51;0,00;0,00;0,00;12,00
2019-07-07;69,00;6,00;6,00;0,00;0,00;17,00;0,00;6,00;0,00;0,00;11,00;29,00;0,00;0,00;0,00;62,53;0,00;0,00;0,00;6,00;12,00
2019-07-14;64,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;40,00;0,00;0,00;0,00;88,28;11,03;0,00;6,00;0,00;17,00
2019-07-21;72,00;6,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;6,00;60,00;0,00;6,55;0,00;91,64;6,55;6,00;0,00;6,00;24,00
2019-07-28;100,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;12,00;0,00;29,00;0,00;0,00;0,00;65,22;0,00;0,00;0,00;0,00;6,00
2019-08-04;46,00;12,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;11,00;29,00;0,00;0,00;0,00;98,57;0,00;0,00;17,00;12,00;6,00
2019-08-11;52,00;0,00;11,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;40,00;0,00;6,50;6,50;80,17;0,00;0,00;0,00;0,00;29,00
2019-08-18;77,00;12,00;12,00;0,00;0,00;6,00;0,00;0,00;6,00;6,00;12,00;24,00;0,00;0,00;0,00;94,11;0,00;0,00;0,00;6,00;24,00
2019-08-25;82,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;12,00;0,00;12,00;52,00;0,00;0,00;0,00;58,26;0,00;0,00;6,00;0,00;18,00
2019-09-01;17,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;73,00;0,00;0,00;0,00;21,25;0,00;0,00;0,00;11,00;11,00
2019-09-08;51,00;11,00;6,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;6,00;51,00;0,00;0,00;0,00;72,25;0,00;0,00;6,00;0,00;6,00
2019-09-15;23,00;6,00;0,00;6,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00;0,00;0,00;66,70;0,00;6,00;0,00;11,00;11,00
2019-09-22;16,00;0,00;5,00;0,00;0,00;5,00;0,00;11,00;0,00;0,00;21,00;16,00;0,00;0,00;0,00;57,14;4,57;0,00;0,00;0,00;5,00
2019-09-29;32,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;11,00;27,00;0,00;0,00;0,00;21,33;0,00;0,00;5,00;0,00;5,00
2019-10-06;48,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;11,00;27,00;0,00;0,00;0,00;26,18;0,00;0,00;0,00;0,00;16,00
2019-10-13;27,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;11,00;27,00;0,00;0,00;0,00;72,69;6,23;0,00;5,00;0,00;11,00
2019-10-20;58,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;32,00;0,00;0,00;0,00;42,96;0,00;0,00;0,00;5,00;5,00
2019-10-27;37,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;47,88;0,00;0,00;0,00;0,00;0,00
2019-11-03;21,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;41,00;0,00;4,20;0,00;21,00;0,00;0,00;0,00;0,00;10,00
2019-11-10;31,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;21,00;10,00;0,00;0,00;0,00;37,64;0,00;5,00;0,00;0,00;26,00
2019-11-17;20,00;0,00;26,00;10,00;0,00;5,00;0,00;0,00;10,00;0,00;0,00;20,00;0,00;4,44;0,00;42,22;0,00;0,00;0,00;0,00;10,00
2019-11-24;45,00;15,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;5,00;15,00;35,00;0,00;0,00;0,00;10,71;4,29;0,00;5,00;0,00;0,00
2019-12-01;21,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;4,20;25,20;0,00;0,00;0,00;0,00;5,00
2019-12-08;11,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;48,00;5,00;0,00;0,00;48,40;0,00;0,00;0,00;0,00;5,00
2019-12-15;17,00;0,00;11,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;17,00;6,00;0,00;0,00;38,25;0,00;0,00;0,00;0,00;11,00
2019-12-22;12,00;24,00;18,00;18,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;30,00;0,00;0,00;0,00;50,00;0,00;0,00;0,00;6,00;6,00
2019-12-29;55,00;16,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;0,00;11,00;44,00;0,00;0,00;0,00;44,00;0,00;0,00;0,00;0,00;27,00
2020-01-05;50,00;5,00;5,00;0,00;0,00;10,00;0,00;5,00;10,00;0,00;15,00;40,00;0,00;0,00;0,00;41,30;4,35;0,00;0,00;0,00;5,00
2020-01-12;44,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;34,00;5,00;0,00;0,00;70,40;0,00;0,00;0,00;5,00;0,00
2020-01-19;36,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;36,00;0,00;10,59;0,00;36,00;0,00;0,00;5,00;0,00;10,00
2020-01-26;40,00;0,00;5,00;5,00;0,00;15,00;0,00;0,00;5,00;15,00;5,00;45,00;0,00;0,00;0,00;54,74;4,21;0,00;0,00;0,00;25,00
2020-02-02;36,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;46,00;0,00;0,00;0,00;63,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;44,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;10,00;20,00;5,00;4,19;0,00;52,38;0,00;0,00;0,00;5,00;0,00
2020-02-16;35,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;10,00;0,00;10,00;0,00;0,00;0,00;54,69;0,00;0,00;0,00;0,00;0,00
2020-02-23;39,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;19,00;0,00;4,33;0,00;43,33;0,00;5,00;0,00;10,00;20,00
2020-03-01;39,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;39,00;0,00;0,00;4,33;30,33;0,00;0,00;0,00;5,00;10,00
2020-03-08;5,00;0,00;10,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;33,00;10,00;0,00;0,00;40,00;0,00;0,00;0,00;5,00;19,00
2020-03-15;19,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;9,00;0,00;0,00;0,00;19,00;4,22;0,00;0,00;0,00;0,00
2020-03-22;13,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;17,33;0,00;0,00;0,00;0,00;4,00
2020-03-29;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;5,00;5,00
2020-04-05;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;5,00;23,00;0,00;4,67;0,00;53,67;0,00;0,00;5,00;5,00;9,00
2020-04-12;32,00;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;5,00;23,00;0,00;0,00;0,00;27,73;4,27;0,00;0,00;0,00;5,00
2020-04-19;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;5,00;0,00
2020-04-26;22,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;9,00;18,00;0,00;4,40;0,00;30,80;8,80;0,00;0,00;4,00;4,00
2020-05-03;13,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;41,17;0,00;0,00;0,00;5,00;9,00
2020-05-10;40,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;18,00;0,00;0,00;0,00;51,11;0,00;0,00;0,00;9,00;13,00
2020-05-17;9,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;36,00;0,00;0,00;0,00;13,50;0,00;0,00;0,00;0,00;9,00
2020-05-24;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;5,00;38,00;0,00;0,00;0,00;18,00;0,00;5,00;5,00;0,00;0,00
2020-05-31;35,00;17,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;22,00;0,00;0,00;0,00;26,25;8,75;0,00;0,00;0,00;4,00
2020-06-07;31,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;17,00;0,00;0,00;4,43;26,57;4,43;0,00;0,00;0,00;4,00
2020-06-14;31,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;4,00;22,00;0,00;0,00;0,00;35,43;0,00;0,00;4,00;13,00;9,00
2020-06-21;46,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;9,00;0,00;5,00;46,00;0,00;0,00;0,00;50,38;0,00;0,00;5,00;0,00;14,00
2020-06-28;67,00;4,00;13,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;9,00;22,00;0,00;4,32;0,00;54,03;0,00;0,00;0,00;0,00;9,00
2020-07-05;32,00;0,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;14,00;46,00;0,00;0,00;0,00;44,80;0,00;0,00;9,00;9,00;5,00
2020-07-12;63,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;10,00;39,00;5,00;0,00;0,00;69,52;0,00;0,00;5,00;0,00;0,00
2020-07-19;100,00;0,00;10,00;0,00;0,00;25,00;0,00;0,00;5,00;0,00;15,00;40,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;0,00
2020-07-26;40,00;5,00;10,00;0,00;0,00;0,00;0,00;10,00;5,00;0,00;0,00;40,00;0,00;0,00;0,00;128,89;0,00;0,00;5,00;5,00;5,00
2020-08-02;85,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;15,00;40,00;5,00;0,00;0,00;48,88;0,00;5,00;0,00;5,00;0,00
2020-08-09;40,00;10,00;5,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;25,00;25,00;0,00;0,00;0,00;73,68;0,00;0,00;0,00;0,00;10,00
2020-08-16;54,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;24,00;5,00;0,00;0,00;49,68;0,00;0,00;0,00;0,00;0,00
2020-08-23;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;20,00;5,00;0,00;0,00;14,00;0,00;0,00;0,00;10,00;5,00
2020-08-30;35,00;0,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;4,38;0,00;15,31;0,00;0,00;5,00;0,00;0,00
2020-09-06;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;35,00;0,00;0,00;4,17;47,92;0,00;0,00;10,00;0,00;0,00
2020-09-13;10,00;0,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;10,00;20,00;5,00;0,00;0,00;14,00;0,00;0,00;5,00;0,00;5,00
