Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;53,00;15,00;4,00;12,00;2,00;4,00;16,00;2,00;2,00;1,00;1,00;0,00;1,00;0,00;2,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-01-13;51,00;12,00;6,00;10,00;1,00;0,00;11,00;6,00;4,00;0,00;2,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-01-20;60,00;10,00;6,00;11,00;2,00;5,00;8,00;2,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-01-27;55,00;7,00;7,00;8,00;0,00;3,00;8,00;5,00;1,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;43,00;7,00;6,00;8,00;2,00;0,00;6,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;63,00;7,00;6,00;11,00;2,00;1,00;9,00;12,00;1,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00
2019-02-17;60,00;5,00;4,00;7,00;1,00;2,00;9,00;7,00;6,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;48,00;10,00;10,00;7,00;1,00;2,00;8,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-03;57,00;8,00;6,00;12,00;4,00;2,00;12,00;11,00;2,00;0,00;0,00;0,00;1,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;62,00;11,00;6,00;12,00;2,00;1,00;19,00;7,00;1,00;0,00;0,00;2,00;0,00;2,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-03-17;81,00;11,00;11,00;7,00;1,00;2,00;10,00;7,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;4,00;0,00;1,00;0,00;0,00;0,00
2019-03-24;64,00;10,00;3,00;9,00;1,00;4,00;9,00;8,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;59,00;20,00;6,00;5,00;1,00;5,00;10,00;7,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-04-07;84,00;21,00;9,00;12,00;5,00;0,00;16,00;10,00;0,00;0,00;0,00;2,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-04-14;72,00;17,00;5,00;10,00;1,00;3,00;13,00;5,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00
2019-04-21;68,00;12,00;5,00;12,00;1,00;4,00;9,00;9,00;4,00;0,00;1,00;0,00;0,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00
