Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;94,00;29,00;60,00;42,00;65,00;49,00;10,00;23,00;15,00;7,42;113,79;23,50;35,87;3,00;10,00;3,00;16,00;5,00;44,00;29,00;10,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;95,00;31,00;49,00;46,00;64,00;51,00;15,00;30,00;18,00;5,00;77,50;2,50;33,75;3,00;28,00;5,00;20,00;3,00;36,00;43,00;8,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00
2019-01-20;91,00;39,00;36,00;46,00;88,00;33,00;3,00;26,00;15,00;9,97;100,97;4,99;26,18;0,00;67,00;18,00;8,00;0,00;16,00;15,00;8,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;70,00;35,00;42,00;30,00;30,00;37,00;7,00;10,00;7,00;7,50;67,50;5,00;25,00;0,00;17,00;12,00;12,00;0,00;22,00;15,00;7,00;0,00;0,00;5,00;2,00;0,00;0,00;0,00
2019-02-03;91,00;41,00;36,00;15,00;35,00;18,00;5,00;30,00;18,00;4,92;122,97;4,92;14,76;3,00;28,00;5,00;10,00;0,00;51,00;18,00;8,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00
2019-02-10;65,00;39,00;26,00;29,00;39,00;18,00;8,00;10,00;5,00;4,91;71,13;4,91;25,75;5,00;18,00;3,00;16,00;0,00;29,00;16,00;8,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;69,00;21,00;40,00;29,00;26,00;32,00;5,00;10,00;10,00;7,53;63,98;2,51;16,31;0,00;16,00;5,00;8,00;0,00;50,00;37,00;13,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-24;49,00;21,00;36,00;21,00;54,00;39,00;16,00;13,00;8,00;2,45;74,73;4,90;15,93;0,00;23,00;0,00;3,00;0,00;36,00;18,00;8,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-03-03;59,00;56,00;26,00;33,00;41,00;18,00;10,00;13,00;10,00;2,46;62,69;9,83;17,21;0,00;18,00;15,00;10,00;0,00;41,00;49,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;52,00;49,00;26,00;18,00;52,00;28,00;3,00;23,00;8,00;0,00;66,86;2,48;28,48;0,00;8,00;8,00;13,00;0,00;21,00;5,00;15,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00
