Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;55,00;69,67;27,50;36,67;5,50;9,00;0,00;18,00;18,00
2019-01-13;36,00;79,20;21,60;18,00;3,60;59,00;5,00;27,00;5,00
2019-01-20;46,00;58,88;18,40;18,40;3,68;32,00;5,00;18,00;9,00
2019-01-27;71,00;63,53;18,68;35,50;3,74;4,00;0,00;0,00;4,00
2019-02-03;18,00;21,60;18,00;39,60;9,00;9,00;4,00;4,00;0,00
2019-02-10;28,00;46,67;0,00;33,60;5,60;18,00;0,00;9,00;14,00
2019-02-17;37,00;33,30;9,25;24,05;5,55;14,00;9,00;5,00;23,00
2019-02-24;69,00;36,32;18,16;36,32;5,45;23,00;14,00;32,00;0,00
2019-03-03;32,00;32,00;18,82;13,18;3,76;23,00;9,00;23,00;0,00
2019-03-10;46,00;22,08;12,88;36,80;0,00;18,00;0,00;18,00;5,00
2019-03-17;33,00;23,83;23,83;14,67;0,00;14,00;14,00;5,00;5,00
2019-03-24;62,00;32,82;18,24;23,71;0,00;5,00;5,00;9,00;14,00
2019-03-31;51,00;27,32;18,21;36,43;5,46;19,00;5,00;14,00;0,00
2019-04-07;51,00;27,32;18,21;32,79;0,00;14,00;14,00;19,00;19,00
2019-04-14;34,00;8,95;8,95;34,00;0,00;29,00;0,00;24,00;10,00
2019-04-21;71,00;9,34;9,34;28,03;0,00;14,00;0,00;0,00;19,00
2019-04-28;36,00;39,60;3,60;9,00;3,60;9,00;9,00;5,00;14,00
2019-05-05;60,00;14,55;18,18;18,18;0,00;5,00;0,00;18,00;9,00
2019-05-12;47,00;24,44;5,64;33,84;0,00;14,00;14,00;9,00;0,00
2019-05-19;70,00;9,21;9,21;18,42;0,00;5,00;9,00;5,00;19,00
2019-05-26;36,00;21,60;18,00;30,60;0,00;18,00;0,00;9,00;14,00
2019-06-02;30,00;21,18;21,18;24,71;3,53;13,00;4,00;4,00;9,00
2019-06-09;63,00;31,50;12,97;31,50;0,00;4,00;4,00;9,00;9,00
2019-06-16;51,00;9,11;9,11;18,21;0,00;9,00;0,00;18,00;23,00
2019-06-23;32,00;35,56;23,11;12,44;3,56;5,00;0,00;0,00;18,00
2019-06-30;51,00;36,43;9,11;32,79;0,00;14,00;5,00;9,00;5,00
2019-07-07;41,00;27,95;18,64;18,64;0,00;5,00;5,00;9,00;9,00
2019-07-14;37,00;22,20;18,50;18,50;0,00;18,00;14,00;9,00;5,00
2019-07-21;48,00;18,46;14,77;38,77;0,00;9,00;9,00;5,00;9,00
2019-07-28;56,00;28,00;9,33;37,33;0,00;14,00;9,00;19,00;5,00
2019-08-04;73,00;36,50;12,78;12,78;0,00;0,00;0,00;27,00;5,00
2019-08-11;82,00;22,36;0,00;37,27;0,00;23,00;0,00;14,00;14,00
2019-08-18;66,00;33,00;23,83;33,00;0,00;5,00;5,00;5,00;9,00
2019-08-25;55,00;42,17;14,67;27,50;0,00;9,00;14,00;23,00;14,00
2019-09-01;49,00;12,70;27,22;49,00;0,00;13,00;9,00;18,00;0,00
2019-09-08;54,00;50,28;22,34;35,38;3,72;18,00;4,00;18,00;0,00
2019-09-15;54,00;27,93;18,62;40,97;0,00;18,00;4,00;9,00;27,00
2019-09-22;51,00;38,25;21,86;21,86;3,64;0,00;8,00;4,00;30,00
2019-09-29;47,00;25,31;21,69;21,69;3,62;17,00;4,00;4,00;17,00
2019-10-06;72,00;20,31;25,85;29,54;0,00;21,00;8,00;8,00;17,00
2019-10-13;56,00;26,13;29,87;48,53;0,00;9,00;0,00;21,00;13,00
2019-10-20;54,00;20,48;46,55;33,52;3,72;4,00;17,00;17,00;8,00
2019-10-27;51,00;20,04;9,11;12,75;0,00;21,00;17,00;8,00;13,00
2019-11-03;41,00;33,55;13,05;115,55;0,00;24,00;12,00;16,00;4,00
2019-11-10;49,00;16,33;32,67;29,04;3,63;25,00;4,00;12,00;8,00
2019-11-17;40,00;47,27;27,27;12,73;0,00;20,00;8,00;4,00;20,00
2019-11-24;40,00;40,00;27,27;23,64;3,64;8,00;4,00;28,00;8,00
2019-12-01;57,00;3,68;29,42;23,90;0,00;16,00;0,00;12,00;25,00
2019-12-08;72,00;33,23;38,77;16,62;3,69;17,00;4,00;17,00;8,00
2019-12-15;35,00;35,00;12,89;22,11;0,00;35,00;13,00;13,00;22,00
2019-12-22;58,00;18,71;14,97;43,03;0,00;67,00;5,00;14,00;14,00
2019-12-29;43,00;56,09;35,52;39,26;3,74;43,00;17,00;21,00;22,00
2020-01-05;40,00;74,55;16,36;47,27;3,64;64,00;0,00;12,00;8,00
2020-01-12;35,00;58,95;42,37;31,32;0,00;23,00;8,00;15,00;19,00
2020-01-19;65,00;40,86;37,14;13,00;3,71;12,00;8,00;12,00;8,00
2020-01-26;40,00;58,18;7,27;40,00;0,00;8,00;4,00;20,00;24,00
2020-02-02;68,00;104,76;16,54;23,89;0,00;20,00;0,00;32,00;28,00
2020-02-09;35,00;42,37;11,05;23,95;0,00;19,00;4,00;43,00;0,00
2020-02-16;51,00;38,25;30,96;23,68;0,00;23,00;4,00;35,00;12,00
2020-02-23;66,00;56,83;14,67;18,33;0,00;15,00;0,00;15,00;8,00
2020-03-01;63,00;55,59;24,09;31,50;3,71;31,00;12,00;8,00;4,00
2020-03-08;23,00;44,08;19,17;47,92;3,83;15,00;15,00;26,00;0,00
2020-03-15;56,00;26,13;14,93;7,47;3,73;7,00;4,00;26,00;15,00
2020-03-22;46,00;23,92;3,68;14,72;0,00;7,00;14,00;4,00;18,00
2020-03-29;39,00;35,29;11,14;35,29;0,00;21,00;28,00;7,00;14,00
2020-04-05;73,00;26,21;3,74;29,95;0,00;14,00;7,00;11,00;11,00
2020-04-12;47,00;14,46;0,00;14,46;0,00;22,00;11,00;11,00;7,00
2020-04-19;43,00;14,96;14,96;18,70;7,48;7,00;4,00;7,00;4,00
2020-04-26;52,00;35,29;0,00;16,71;3,71;7,00;17,00;17,00;10,00
2020-05-03;60,00;27,27;18,18;18,18;3,64;18,00;7,00;7,00;4,00
2020-05-10;25,00;15,38;15,38;32,69;3,85;17,00;10,00;31,00;14,00
2020-05-17;57,00;49,65;34,94;25,74;3,68;4,00;0,00;11,00;7,00
2020-05-24;45,00;36,00;18,00;32,40;0,00;4,00;15,00;11,00;4,00
2020-05-31;45,00;56,25;11,25;45,00;3,75;3,00;14,00;10,00;7,00
2020-06-07;66,00;27,50;12,83;31,17;0,00;10,00;10,00;10,00;10,00
2020-06-14;81,00;18,41;14,73;20,25;0,00;4,00;3,00;10,00;3,00
2020-06-21;69,00;37,30;11,19;29,84;7,46;11,00;4,00;4,00;11,00
2020-06-28;42,00;20,09;14,61;52,96;3,65;14,00;14,00;21,00;25,00
2020-07-05;55,00;25,67;40,33;47,67;11,00;11,00;0,00;4,00;15,00
2020-07-12;58,00;14,97;7,48;14,97;0,00;15,00;8,00;12,00;8,00
2020-07-19;36,00;39,79;24,63;28,42;3,79;20,00;0,00;24,00;24,00
2020-07-26;55,00;31,17;23,83;11,00;0,00;16,00;8,00;20,00;16,00
2020-08-02;56,00;52,27;20,53;28,00;0,00;12,00;4,00;20,00;0,00
2020-08-09;60,00;52,50;48,75;24,38;0,00;12,00;4,00;12,00;24,00
2020-08-16;31,00;27,35;7,29;31,00;7,29;12,00;0,00;19,00;12,00
2020-08-23;23,00;23,00;30,08;30,08;3,54;4,00;4,00;15,00;12,00
2020-08-30;68,00;27,57;20,22;23,89;0,00;12,00;8,00;8,00;16,00
2020-09-06;55,00;20,17;16,50;23,83;0,00;4,00;4,00;12,00;8,00
2020-09-13;63,00;55,59;38,91;38,91;0,00;16,00;4,00;0,00;16,00
2020-09-20;51,00;27,32;14,57;20,04;3,64;4,00;0,00;8,00;16,00
2020-09-27;24,00;31,38;11,08;11,08;7,38;23,00;8,00;12,00;16,00
2020-10-04;48,00;20,31;16,62;31,38;0,00;12,00;8,00;4,00;48,00
2020-10-11;46,00;12,88;12,88;29,44;7,36;29,00;0,00;21,00;8,00
2020-10-18;46,00;33,12;3,68;33,12;0,00;41,00;12,00;21,00;17,00
2020-10-25;73,00;7,30;20,08;20,08;3,65;20,00;8,00;12,00;4,00
2020-11-01;47,00;28,20;15,04;11,28;3,76;27,00;0,00;8,00;23,00
2020-11-08;55,00;11,00;11,00;27,50;0,00;23,00;0,00;12,00;8,00
2020-11-15;23,00;10,62;19,46;19,46;3,54;12,00;8,00;0,00;19,00
2020-11-22;39,00;20,43;11,14;7,43;0,00;23,00;0,00;0,00;16,00
2020-11-29;35,00;23,95;16,58;23,95;3,68;20,00;0,00;4,00;12,00
2020-12-06;20,00;16,36;12,73;27,27;12,73;12,00;0,00;4,00;8,00
2020-12-13;33,00;16,50;16,50;183,33;0,00;8,00;8,00;4,00;12,00
2020-12-20;41,00;41,00;13,05;162,14;0,00;18,00;5,00;18,00;9,00
2020-12-27;37,00;37,00;12,95;83,25;3,70;53,00;0,00;12,00;8,00
2021-01-03;58,00;92,44;7,25;48,94;3,63;42,00;4,00;8,00;8,00
2021-01-10;35,00;46,05;7,37;27,63;0,00;39,00;0,00;4,00;15,00
2021-01-17;42,00;49,30;10,96;18,26;3,65;27,00;0,00;4,00;4,00
2021-01-24;31,00;65,65;10,94;27,35;0,00;12,00;8,00;8,00;0,00
2021-01-31;43,00;106,57;14,96;35,52;0,00;16,00;4,00;0,00;12,00
2021-02-07;28,00;59,73;16,80;16,80;7,47;8,00;4,00;12,00;20,00
2021-02-14;61,00;53,61;12,94;16,64;3,70;20,00;4,00;4,00;4,00
