Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;53,00;410,75;8,83;4,42;13,25;11,00;24,00;7,00;13,00;4,00;8,00;1,00;1,00
2019-01-13;51,00;398,73;9,27;4,64;13,91;20,00;19,00;5,00;14,00;4,00;7,00;6,00;4,00
2019-01-20;60,00;364,62;9,23;9,23;13,85;14,00;16,00;2,00;16,00;8,00;14,00;1,00;1,00
2019-01-27;55,00;366,67;13,75;9,17;9,17;12,00;22,00;2,00;10,00;3,00;10,00;8,00;3,00
2019-02-03;43,00;391,78;9,56;9,56;19,11;12,00;31,00;4,00;14,00;9,00;8,00;0,00;6,00
2019-02-10;63,00;333,00;18,00;9,00;13,50;16,00;28,00;5,00;11,00;5,00;5,00;4,00;5,00
2019-02-17;60,00;355,38;13,85;4,62;9,23;18,00;21,00;10,00;20,00;6,00;6,00;5,00;0,00
2019-02-24;48,00;309,82;8,73;8,73;17,45;17,00;34,00;6,00;18,00;5,00;10,00;2,00;0,00
2019-03-03;57,00;346,75;14,25;4,75;14,25;17,00;24,00;13,00;14,00;4,00;10,00;1,00;2,00
2019-03-10;62,00;410,15;9,54;23,85;19,08;16,00;14,00;7,00;10,00;7,00;7,00;2,00;2,00
2019-03-17;81,00;360,00;18,00;4,50;18,00;21,00;32,00;7,00;22,00;5,00;10,00;5,00;0,00
2019-03-24;64,00;297,14;9,14;9,14;4,57;19,00;25,00;11,00;24,00;11,00;4,00;2,00;2,00
2019-03-31;59,00;326,77;13,62;4,54;13,62;17,00;27,00;9,00;20,00;9,00;7,00;5,00;4,00
2019-04-07;84,00;354,67;9,33;14,00;18,67;16,00;33,00;9,00;21,00;15,00;7,00;4,00;1,00
2019-04-14;72,00;405,00;4,50;13,50;13,50;15,00;21,00;9,00;18,00;4,00;19,00;6,00;1,00
2019-04-21;68,00;276,53;9,07;9,07;9,07;19,00;31,00;17,00;14,00;9,00;11,00;2,00;1,00
2019-04-28;54,00;297,00;13,50;13,50;13,50;31,00;13,00;8,00;10,00;4,00;11,00;8,00;2,00
2019-05-05;80,00;385,88;4,71;14,12;14,12;16,00;28,00;12,00;21,00;9,00;19,00;10,00;1,00
2019-05-12;60,00;346,15;13,85;9,23;18,46;15,00;29,00;7,00;12,00;4,00;5,00;11,00;1,00
2019-05-19;66,00;396,00;14,14;9,43;28,29;28,00;32,00;18,00;16,00;7,00;15,00;1,00;1,00
2019-05-26;88,00;347,37;9,26;9,26;13,89;26,00;35,00;15,00;14,00;10,00;9,00;6,00;5,00
2019-06-02;87,00;352,58;18,32;13,74;22,89;19,00;30,00;14,00;11,00;9,00;11,00;11,00;1,00
2019-06-09;94,00;362,57;13,43;8,95;13,43;21,00;38,00;8,00;19,00;4,00;14,00;9,00;4,00
2019-06-16;74,00;425,50;13,88;4,63;18,50;22,00;49,00;17,00;19,00;11,00;11,00;5,00;2,00
2019-06-23;98,00;415,33;18,67;4,67;37,33;36,00;33,00;7,00;15,00;7,00;7,00;21,00;6,00
2019-06-30;100,00;363,64;4,55;13,64;22,73;30,00;37,00;10,00;12,00;8,00;13,00;10,00;0,00
2019-07-07;77,00;403,12;13,59;9,06;13,59;21,00;31,00;10,00;23,00;14,00;14,00;8,00;1,00
2019-07-14;73,00;360,44;13,69;13,69;22,81;23,00;29,00;13,00;22,00;6,00;12,00;8,00;6,00
2019-07-21;78,00;435,88;9,18;9,18;22,94;22,00;36,00;10,00;22,00;9,00;12,00;12,00;2,00
2019-07-28;60,00;424,62;9,23;9,23;13,85;21,00;31,00;12,00;23,00;12,00;18,00;11,00;5,00
2019-08-04;90,00;364,50;13,50;9,00;18,00;20,00;31,00;12,00;18,00;6,00;10,00;10,00;1,00
2019-08-11;91,00;414,05;13,65;9,10;22,75;26,00;13,00;7,00;20,00;11,00;13,00;6,00;5,00
2019-08-18;76,00;362,12;8,94;4,47;17,88;17,00;33,00;12,00;21,00;12,00;23,00;6,00;2,00
2019-08-25;75,00;384,38;18,75;14,06;9,38;25,00;34,00;7,00;22,00;6,00;16,00;6,00;4,00
2019-09-01;82,00;359,89;9,11;13,67;22,78;28,00;28,00;6,00;18,00;7,00;14,00;9,00;1,00
2019-09-08;78,00;431,29;18,35;13,76;13,76;25,00;30,00;11,00;15,00;7,00;6,00;6,00;2,00
2019-09-15;67,00;442,20;22,33;4,47;13,40;23,00;24,00;6,00;22,00;18,00;12,00;7,00;6,00
2019-09-22;84,00;392,00;23,33;9,33;23,33;20,00;30,00;8,00;15,00;9,00;8,00;7,00;3,00
2019-09-29;68,00;398,93;13,60;13,60;22,67;13,00;19,00;9,00;11,00;7,00;8,00;2,00;2,00
2019-10-06;51,00;408,00;9,27;13,91;27,82;24,00;27,00;7,00;16,00;16,00;8,00;1,00;1,00
2019-10-13;57,00;413,25;9,50;14,25;19,00;14,00;24,00;7,00;10,00;12,00;6,00;5,00;2,00
2019-10-20;70,00;410,67;18,67;14,00;18,67;17,00;16,00;9,00;14,00;9,00;10,00;3,00;1,00
2019-10-27;58,00;334,62;8,92;13,38;13,38;14,00;16,00;8,00;11,00;3,00;6,00;3,00;2,00
2019-11-03;43,00;377,44;14,33;9,56;14,33;12,00;20,00;9,00;18,00;7,00;9,00;2,00;1,00
2019-11-10;35,00;306,25;13,13;13,13;13,13;9,00;21,00;7,00;16,00;6,00;5,00;2,00;2,00
2019-11-17;32,00;329,14;9,14;13,71;18,29;8,00;15,00;9,00;18,00;5,00;3,00;2,00;3,00
2019-11-24;53,00;287,08;13,25;17,67;13,25;12,00;16,00;9,00;13,00;9,00;14,00;4,00;0,00
2019-12-01;49,00;289,55;13,36;17,82;17,82;12,00;17,00;15,00;14,00;4,00;5,00;2,00;0,00
2019-12-08;28,00;308,00;9,33;9,33;18,67;14,00;11,00;3,00;17,00;6,00;10,00;2,00;2,00
2019-12-15;39,00;342,33;13,00;17,33;17,33;15,00;19,00;5,00;20,00;9,00;14,00;6,00;2,00
2019-12-22;43,00;396,56;19,11;19,11;19,11;16,00;14,00;9,00;14,00;9,00;13,00;4,00;5,00
2019-12-29;60,00;415,38;4,62;18,46;23,08;23,00;25,00;10,00;20,00;2,00;11,00;2,00;0,00
2020-01-05;59,00;449,31;18,15;13,62;31,77;18,00;25,00;9,00;20,00;8,00;15,00;7,00;2,00
2020-01-12;76,00;475,00;14,25;19,00;23,75;21,00;18,00;2,00;14,00;7,00;12,00;2,00;1,00
