Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;50,00;50,00;16,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,33;100,00;0,00;0,00;0,00;33,33;0,00;0,00;17,00;0,00;0,00
2019-01-13;63,00;109,80;16,20;16,20;0,00;0,00;0,00;0,00;16,00;0,00;0,00;79,58;0,00;0,00;0,00;31,50;0,00;0,00;0,00;0,00;0,00
2019-01-20;31,00;45,59;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;48,22;0,00;0,00;0,00;48,44;0,00;0,00;15,00;0,00;0,00
2019-01-27;15,00;46,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54,00;15,00;0,00;0,00;0,00;76,88;0,00;0,00;0,00;0,00;0,00
2019-02-03;31,00;76,59;14,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;31,00;0,00;0,00;0,00;76,59;0,00;0,00;15,00;0,00;0,00
2019-02-10;47,00;155,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;63,79;0,00;0,00;0,00;95,88;0,00;0,00;0,00;16,00;16,00
2019-02-17;64,00;96,91;32,91;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;97,88;0,00;0,00;0,00;0,00;0,00
2019-02-24;47,00;77,73;16,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,79;0,00;0,00;0,00;48,88;0,00;0,00;0,00;0,00;0,00
2019-03-03;49,00;81,67;16,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,67;0,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;48,00;62,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,14;65,14;48,00;0,00;0,00;0,00;31,38;0,00;0,00;32,00;0,00;0,00
2019-03-17;82,00;98,40;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;51,25;34,17;0,00;0,00;0,00;16,77;0,00;0,00;0,00;0,00;0,00
2019-03-24;33,00;33,00;16,50;0,00;0,00;16,00;0,00;0,00;0,00;0,00;49,50;66,00;0,00;0,00;0,00;47,67;0,00;0,00;0,00;0,00;0,00
2019-03-31;32,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;124,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;16,00;110,22;16,00;16,00;0,00;0,00;0,00;0,00;16,00;0,00;32,00;121,60;0,00;0,00;0,00;92,44;0,00;0,00;0,00;16,00;0,00
2019-04-14;66,00;49,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,50;145,20;0,00;0,00;0,00;67,89;0,00;0,00;0,00;0,00;0,00
2019-04-21;52,00;86,07;17,93;17,93;0,00;0,00;0,00;0,00;0,00;0,00;107,47;124,80;0,00;16,71;0,00;68,71;0,00;0,00;0,00;17,00;0,00
2019-04-28;65,00;113,75;32,50;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;232,63;0,00;16,71;0,00;33,43;0,00;0,00;0,00;0,00;0,00
2019-05-05;46,00;172,96;31,28;14,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;121,57;0,00;0,00;0,00;106,72;0,00;0,00;0,00;0,00;0,00
2019-05-12;31,00;93,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;65,44;127,44;17,22;0,00;0,00;45,59;0,00;0,00;47,00;0,00;0,00
2019-05-19;47,00;108,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,21;94,00;0,00;0,00;0,00;31,96;0,00;0,00;16,00;0,00;0,00
2019-05-26;45,00;162,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;31,15;0,00;0,00;0,00;75,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;97,00;97,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;16,72;46,83;33,45;0,00;0,00;145,50;0,00;0,00;0,00;0,00;16,00
2019-06-09;32,00;78,22;0,00;0,00;16,00;16,00;0,00;0,00;0,00;0,00;16,00;124,80;0,00;0,00;0,00;65,88;16,94;0,00;0,00;16,00;0,00
2019-06-16;16,00;64,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;233,60;0,00;0,00;0,00;140,44;0,00;0,00;0,00;16,00;0,00
2019-06-23;100,00;83,64;32,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,33;83,33;16,67;0,00;0,00;83,33;0,00;0,00;0,00;0,00;0,00
2019-06-30;17,00;69,89;0,00;17,00;0,00;17,00;0,00;0,00;0,00;0,00;68,00;340,00;0,00;0,00;0,00;51,00;0,00;0,00;17,00;0,00;0,00
2019-07-07;48,00;96,00;16,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;82,29;113,14;0,00;0,00;0,00;62,77;0,00;0,00;16,00;16,00;0,00
2019-07-14;33,00;183,33;16,50;0,00;16,50;17,00;0,00;0,00;0,00;16,50;49,50;82,50;0,00;0,00;0,00;179,67;16,50;0,00;17,00;17,00;0,00
