Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;46,00;28,00;37,00;23,00;0,00;12,55;0,00;23,00;12,55
2019-01-13;26,00;18,00;13,00;35,00;0,00;4,33;4,33;13,00;8,67
2019-01-20;26,00;17,00;30,00;17,00;0,00;4,33;0,00;26,00;17,33
2019-01-27;25,00;34,00;17,00;25,00;0,00;0,00;0,00;29,17;4,17
2019-02-03;21,00;13,00;9,00;17,00;0,00;0,00;4,20;12,60;210,00
2019-02-10;39,00;4,00;4,00;17,00;0,00;8,67;8,67;13,00;17,33
2019-02-17;31,00;22,00;4,00;18,00;9,00;13,29;8,86;8,86;13,29
2019-02-24;22,00;4,00;18,00;18,00;4,00;17,60;0,00;13,20;4,40
2019-03-03;9,00;9,00;9,00;23,00;9,00;0,00;13,50;18,00;4,50
2019-03-10;18,00;9,00;0,00;18,00;4,00;9,00;0,00;9,00;4,50
2019-03-17;14,00;23,00;36,00;27,00;14,00;0,00;4,67;9,33;4,67
2019-03-24;36,00;9,00;14,00;27,00;27,00;0,00;4,24;4,24;8,47
2019-03-31;23,00;5,00;5,00;23,00;18,00;13,80;0,00;0,00;9,20
2019-04-07;22,00;18,00;13,00;27,00;27,00;0,00;0,00;0,00;8,80
2019-04-14;23,00;5,00;9,00;23,00;5,00;0,00;4,18;4,18;8,36
2019-04-21;67,00;5,00;14,00;29,00;5,00;15,13;4,32;23,77;19,45
2019-04-28;23,00;0,00;18,00;18,00;9,00;0,00;0,00;0,00;16,73
2019-05-05;13,00;9,00;9,00;17,00;0,00;0,00;0,00;8,67;0,00
2019-05-12;35,00;56,00;4,00;35,00;0,00;4,38;8,75;8,75;4,38
2019-05-19;65,00;100,00;13,00;17,00;9,00;13,00;0,00;8,67;26,00
2019-05-26;21,00;29,00;12,00;17,00;8,00;4,20;4,20;4,20;4,20
2019-06-02;27,00;9,00;13,00;18,00;9,00;0,00;8,31;27,00;16,62
2019-06-09;36,00;22,00;9,00;27,00;0,00;4,24;0,00;4,24;12,71
2019-06-16;59,00;27,00;5,00;32,00;23,00;8,74;4,37;4,37;17,48
2019-06-23;23,00;19,00;5,00;19,00;0,00;8,36;4,18;18,82;77,36
2019-06-30;46,00;9,00;9,00;23,00;5,00;0,00;8,36;0,00;8,36
2019-07-07;62,00;18,00;13,00;31,00;9,00;0,00;17,10;0,00;4,28
2019-07-14;37,00;18,00;28,00;18,00;9,00;0,00;0,00;0,00;8,71
2019-07-21;42,00;5,00;5,00;37,00;5,00;4,42;0,00;0,00;8,84
2019-07-28;47,00;9,00;28,00;9,00;28,00;14,95;0,00;14,95;23,50
2019-08-04;98,00;15,00;5,00;5,00;5,00;10,65;0,00;4,26;95,87
2019-08-11;72,00;15,00;5,00;20,00;0,00;15,27;0,00;15,27;21,82
2019-08-18;48,00;14,00;14,00;33,00;10,00;19,64;0,00;8,73;48,00
2019-08-25;62,00;13,00;18,00;44,00;0,00;29,93;8,55;12,83;17,10
2019-09-01;54,00;8,00;4,00;8,00;0,00;4,32;4,32;17,28;17,28
2019-09-08;38,00;0,00;13,00;17,00;4,00;4,22;8,44;0,00;12,67
2019-09-15;29,00;13,00;13,00;21,00;4,00;0,00;0,00;12,43;16,57
2019-09-22;8,00;4,00;4,00;17,00;8,00;4,00;0,00;4,00;8,00
2019-09-29;25,00;0,00;17,00;17,00;8,00;0,00;0,00;8,33;4,17
2019-10-06;4,00;0,00;9,00;13,00;13,00;0,00;4,00;4,00;20,00
2019-10-13;21,00;17,00;4,00;25,00;13,00;0,00;0,00;4,20;21,00
2019-10-20;20,00;12,00;12,00;24,00;12,00;0,00;4,44;4,44;17,78
2019-10-27;25,00;0,00;25,00;25,00;12,00;8,33;8,33;4,17;12,50
2019-11-03;32,00;20,00;12,00;24,00;8,00;4,27;0,00;0,00;19,20
2019-11-10;21,00;8,00;0,00;4,00;21,00;8,40;8,40;8,40;21,00
2019-11-17;8,00;8,00;0,00;12,00;8,00;4,00;0,00;0,00;8,00
2019-11-24;12,00;25,00;8,00;16,00;4,00;4,00;0,00;16,00;12,00
2019-12-01;29,00;21,00;8,00;29,00;4,00;0,00;0,00;8,29;8,29
2019-12-08;21,00;4,00;13,00;30,00;4,00;4,20;12,60;12,60;21,00
2019-12-15;13,00;13,00;13,00;13,00;13,00;8,67;0,00;17,33;13,00
2019-12-22;25,00;34,00;25,00;20,00;10,00;0,00;0,00;40,91;20,45
2019-12-29;42,00;19,00;5,00;28,00;9,00;18,90;18,90;18,90;8,40
2020-01-05;33,00;50,00;13,00;8,00;17,00;8,25;4,13;28,88;20,63
2020-01-12;39,00;12,00;23,00;19,00;15,00;4,33;8,67;15,17;15,17
2020-01-19;16,00;36,00;12,00;16,00;4,00;4,57;4,57;13,71;16,00
2020-01-26;31,00;31,00;19,00;12,00;12,00;0,00;0,00;11,07;15,50
2020-02-02;31,00;23,00;8,00;19,00;4,00;0,00;8,86;19,93;161,64
2020-02-09;12,00;24,00;20,00;16,00;4,00;4,00;0,00;12,00;8,00
2020-02-16;32,00;0,00;20,00;16,00;8,00;8,53;12,80;8,53;14,93
2020-02-23;34,00;4,00;11,00;22,00;7,00;6,38;0,00;10,63;6,38
2020-03-01;22,00;7,00;7,00;30,00;4,00;0,00;4,40;11,00;19,80
