Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;12,00;222,00;3,00;6,00;6,00;5,00;4,00;1,00;1,00;1,00;0,00;1,00;0,00
2019-01-13;8,00;200,00;4,00;8,00;4,00;5,00;4,00;1,00;4,00;1,00;2,00;0,50;0,50
2019-01-20;12,00;138,00;3,00;3,00;6,00;6,00;1,00;0,50;3,00;1,00;1,00;0,50;0,50
2019-01-27;15,00;90,00;2,50;2,50;2,50;5,00;3,00;0,50;2,00;0,50;2,00;0,50;0,00
2019-02-03;12,00;108,00;3,00;6,00;3,00;4,00;2,00;0,00;0,50;0,50;1,00;0,50;0,00
2019-02-10;10,00;80,00;0,00;5,00;2,50;3,00;3,00;0,00;1,00;1,00;2,00;1,00;0,00
2019-02-17;14,00;119,00;3,50;7,00;7,00;7,00;3,00;0,50;0,00;1,00;1,00;0,50;0,00
2019-02-24;13,00;130,00;3,25;6,50;3,25;8,00;2,00;0,50;1,00;0,50;1,00;0,00;0,00
2019-03-03;16,00;90,67;2,67;5,33;5,33;5,00;4,00;0,50;0,50;1,00;3,00;1,00;0,00
2019-03-10;17,00;119,00;2,83;5,67;2,83;7,00;5,00;0,00;1,00;0,50;1,00;1,00;0,00
2019-03-17;19,00;114,00;0,00;6,33;3,17;7,00;3,00;0,00;1,00;1,00;2,00;2,00;0,00
2019-03-24;16,00;96,00;2,67;10,67;2,67;7,00;3,00;0,50;0,50;0,50;1,00;1,00;0,00
2019-03-31;19,00;101,33;3,17;6,33;3,17;5,00;3,00;0,50;0,00;1,00;0,50;0,50;0,00
2019-04-07;13,00;123,50;3,25;6,50;6,50;6,00;4,00;1,00;1,00;1,00;2,00;0,00;0,00
2019-04-14;22,00;550,00;2,75;5,50;11,00;10,00;3,00;2,00;3,00;0,00;2,00;0,00;0,00
2019-04-21;24,00;126,00;3,00;12,00;6,00;10,00;8,00;1,00;2,00;0,50;3,00;2,00;1,00
2019-04-28;20,00;113,33;3,33;6,67;6,67;6,00;2,00;1,00;3,00;2,00;4,00;0,00;0,00
2019-05-05;12,00;102,00;3,00;3,00;6,00;8,00;5,00;1,00;2,00;2,00;2,00;1,00;0,50
2019-05-12;14,00;126,00;3,50;7,00;7,00;5,00;4,00;2,00;2,00;2,00;2,00;0,00;0,50
2019-05-19;21,00;94,50;2,63;5,25;5,25;8,00;4,00;2,00;3,00;2,00;2,00;1,00;2,00
2019-05-26;16,00;85,33;2,67;5,33;5,33;8,00;3,00;3,00;1,00;1,00;1,00;1,00;0,50
2019-06-02;21,00;105,00;2,63;5,25;5,25;7,00;4,00;2,00;1,00;0,00;2,00;1,00;0,00
2019-06-09;21,00;99,75;2,63;5,25;2,63;7,00;5,00;3,00;1,00;1,00;2,00;2,00;0,00
2019-06-16;23,00;103,50;2,88;5,75;5,75;7,00;5,00;2,00;3,00;3,00;1,00;0,50;1,00
2019-06-23;23,00;109,25;2,88;5,75;5,75;11,00;6,00;0,50;2,00;1,00;1,00;1,00;0,00
2019-06-30;26,00;93,60;2,60;5,20;5,20;9,00;5,00;1,00;1,00;0,50;2,00;1,00;0,00
2019-07-07;19,00;120,33;3,17;6,33;6,33;9,00;5,00;0,50;0,50;0,50;1,00;0,00;1,00
2019-07-14;26,00;136,50;3,25;6,50;6,50;7,00;6,00;2,00;5,00;1,00;1,00;0,50;1,00
2019-07-21;22,00;132,00;2,75;5,50;5,50;8,00;3,00;1,00;4,00;3,00;3,00;0,00;1,00
2019-07-28;27,00;118,80;5,40;5,40;5,40;8,00;4,00;4,00;2,00;2,00;1,00;1,00;0,50
2019-08-04;32,00;138,67;5,33;5,33;5,33;11,00;6,00;1,00;3,00;3,00;2,00;1,00;1,00
2019-08-11;35,00;145,83;2,92;11,67;11,67;12,00;9,00;4,00;3,00;3,00;3,00;1,00;1,00
2019-08-18;29,00;139,20;2,90;11,60;5,80;9,00;4,00;0,50;2,00;0,50;1,00;1,00;0,00
2019-08-25;25,00;118,75;3,13;6,25;6,25;7,00;6,00;1,00;2,00;1,00;0,50;1,00;1,00
2019-09-01;19,00;152,00;3,17;6,33;6,33;11,00;5,00;1,00;4,00;1,00;2,00;2,00;1,00
2019-09-08;15,00;115,00;2,50;5,00;5,00;8,00;3,00;0,50;4,00;2,00;0,50;1,00;1,00
2019-09-15;15,00;110,00;2,50;5,00;5,00;8,00;5,00;1,00;2,00;1,00;3,00;0,00;0,50
2019-09-22;16,00;128,00;2,67;5,33;5,33;7,00;5,00;0,50;3,00;1,00;2,00;2,00;0,00
2019-09-29;15,00;125,00;2,50;5,00;5,00;8,00;4,00;0,50;3,00;0,00;2,00;0,00;0,00
2019-10-06;13,00;149,50;3,25;6,50;6,50;8,00;5,00;1,00;4,00;1,00;2,00;1,00;0,00
2019-10-13;20,00;153,33;0,00;6,67;6,67;10,00;5,00;2,00;2,00;1,00;1,00;1,00;0,00
2019-10-20;11,00;126,50;2,75;5,50;5,50;9,00;3,00;2,00;3,00;0,00;2,00;0,00;0,50
2019-10-27;11,00;198,00;2,75;5,50;5,50;9,00;3,00;2,00;2,00;1,00;2,00;1,00;0,50
2019-11-03;14,00;168,00;3,50;7,00;7,00;6,00;4,00;2,00;1,00;1,00;0,50;1,00;0,00
2019-11-10;14,00;168,00;3,50;7,00;7,00;5,00;5,00;1,00;3,00;1,00;2,00;1,00;0,50
2019-11-17;13,00;143,00;3,25;13,00;6,50;6,00;4,00;0,50;2,00;1,00;0,50;0,50;0,00
2019-11-24;10,00;120,00;0,00;10,00;5,00;9,00;5,00;1,00;5,00;1,00;1,00;0,50;0,00
2019-12-01;13,00;149,50;3,25;6,50;6,50;5,00;4,00;0,50;1,00;0,50;1,00;0,50;0,00
2019-12-08;12,00;126,00;3,00;6,00;6,00;3,00;3,00;1,00;2,00;0,50;0,50;1,00;0,00
2019-12-15;11,00;115,50;2,75;2,75;5,50;7,00;4,00;2,00;4,00;0,50;2,00;1,00;0,00
2019-12-22;27,00;135,00;2,70;5,40;5,40;6,00;5,00;0,00;1,00;1,00;1,00;1,00;1,00
2019-12-29;24,00;198,00;0,00;6,00;6,00;6,00;2,00;1,00;2,00;1,00;2,00;1,00;0,00
2020-01-05;19,00;164,67;3,17;6,33;6,33;10,00;3,00;1,00;2,00;1,00;2,00;0,50;0,00
2020-01-12;14,00;175,00;3,50;7,00;3,50;5,00;4,00;1,00;2,00;1,00;2,00;0,00;0,00
2020-01-19;14,00;154,00;3,50;7,00;7,00;7,00;4,00;2,00;2,00;0,50;1,00;0,00;0,00
2020-01-26;14,00;140,00;3,50;7,00;7,00;2,00;3,00;0,00;2,00;0,50;1,00;0,00;0,50
2020-02-02;15,00;95,00;2,50;5,00;5,00;5,00;5,00;1,00;4,00;0,50;3,00;1,00;0,00
2020-02-09;15,00;100,00;2,50;5,00;5,00;8,00;4,00;1,00;4,00;1,00;4,00;0,50;0,50
2020-02-16;18,00;102,00;3,00;6,00;6,00;6,00;3,00;1,00;1,00;2,00;2,00;0,50;0,00
2020-02-23;9,00;153,00;4,50;9,00;9,00;5,00;3,00;0,50;3,00;1,00;0,50;0,00;1,00
2020-03-01;7,00;105,00;0,00;7,00;3,50;4,00;1,00;1,00;2,00;0,50;1,00;0,50;1,00
