Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;15,00;15,00;0,00;15,00;0,00;0,00;15,00;0,00;11,00;0,00;0,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;15,00
2019-01-13;46,00;15,68;0,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;15,81;31,63;0,00;0,00;0,00;105,53;16,24;0,00;62,05;0,00;0,00
2019-01-20;15,00;15,00;15,00;31,07;0,00;0,00;0,00;0,00;0,00;15,00;0,00;15,00;0,00;0,00;0,00;33,00;0,00;0,00;15,00;0,00;0,00
2019-01-27;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;10,00;21,00;10,00;0,00;0,00;11,00;0,00;0,00;42,00;14,00;0,00
2019-02-03;0,00;0,00;30,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;11,00;11,00;11,00;0,00;0,00;17,00;11,00;0,00;29,00;0,00;0,00
2019-02-10;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;15,00;0,00;11,00;22,00;0,00;0,00;0,00;28,00;0,00;15,00;0,00;0,00;15,00
2019-02-17;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;16,00;0,00;11,00;0,00;0,00;0,00;0,00;41,00;0,00;0,00;61,00;0,00;0,00
2019-02-24;16,00;0,00;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;32,00;0,00;29,33;0,00;90,67;16,00;0,00;32,00;0,00;0,00
2019-03-03;0,00;0,00;15,00;15,00;0,00;31,00;0,00;0,00;16,00;0,00;0,00;11,00;0,00;0,00;0,00;40,00;0,00;15,00;15,00;0,00;0,00
2019-03-10;15,00;0,00;0,00;29,00;0,00;0,00;0,00;15,00;0,00;0,00;15,00;28,64;0,00;0,00;0,00;70,00;0,00;0,00;46,07;0,00;0,00
2019-03-17;15,00;0,00;15,00;0,00;0,00;46,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;27,50;0,00;0,00;0,00;0,00;0,00
2019-03-24;16,00;0,00;16,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;32,00;16,00;0,00;0,00;0,00;77,33;0,00;0,00;16,00;0,00;16,00
2019-03-31;16,00;0,00;16,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;16,00;16,00;0,00;0,00;0,00;61,33;0,00;32,00;0,00;0,00;16,00
2019-04-07;16,00;0,00;16,00;0,00;0,00;47,00;0,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;16,00;77,33;0,00;16,00;32,00;16,00;16,00
2019-04-14;0,00;0,00;46,00;15,00;0,00;48,00;0,00;0,00;16,00;0,00;34,00;34,00;0,00;0,00;0,00;24,00;0,00;0,00;0,00;15,00;0,00
2019-04-21;49,00;0,00;0,00;0,00;32,32;16,00;0,00;0,00;0,00;15,85;33,15;33,15;0,00;0,00;0,00;179,67;0,00;0,00;33,02;0,00;15,98
2019-04-28;31,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;46,00;0,00;15,50;15,50;0,00;0,00;0,00;95,82;0,00;0,00;47,03;0,00;0,00
2019-05-05;0,00;0,00;29,00;14,00;0,00;45,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;44,00;0,00;14,00;43,00;0,00;29,00
2019-05-12;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;22,00;0,00;0,00;0,00;45,00;6,00;0,00;29,00;0,00;0,00
2019-05-19;0,00;0,00;15,00;0,00;15,00;76,00;0,00;0,00;15,00;0,00;21,00;21,00;0,00;0,00;0,00;22,00;6,00;14,00;0,00;0,00;14,00
2019-05-26;0,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;15,00;11,00;32,00;21,00;0,00;0,00;0,00;67,00;11,00;29,00;14,00;0,00;0,00
2019-06-02;14,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;43,00;0,00;42,00;42,00;0,00;0,00;14,00;176,40;0,00;27,00;14,00;0,00;0,00
2019-06-09;0,00;0,00;14,00;100,00;0,00;15,00;0,00;0,00;0,00;0,00;31,00;42,00;0,00;0,00;0,00;66,00;5,00;28,00;0,00;14,00;0,00
2019-06-16;45,00;14,65;45,00;0,00;14,65;0,00;0,00;0,00;15,00;0,00;45,00;14,52;0,00;0,00;0,00;92,81;0,00;15,00;15,00;0,00;0,00
2019-06-23;15,00;0,00;29,00;29,00;15,00;0,00;0,00;0,00;0,00;15,00;58,64;58,64;0,00;0,00;0,00;152,50;15,00;31,07;31,07;0,00;46,07
2019-06-30;15,00;0,00;44,00;29,00;0,00;30,00;0,00;15,00;0,00;0,00;43,64;28,64;0,00;0,00;0,00;140,00;0,00;31,07;31,07;0,00;0,00
2019-07-07;45,00;14,65;14,65;30,35;0,00;45,00;0,00;0,00;45,00;15,47;90,00;45,00;15,47;15,88;0,00;219,71;45,00;0,00;104,65;0,00;14,65
2019-07-14;32,00;0,00;15,48;32,00;0,00;48,00;0,00;0,00;32,00;15,30;79,30;32,00;0,00;0,00;0,00;205,33;16,00;16,00;0,00;16,00;0,00
2019-07-21;67,00;0,00;16,49;16,49;0,00;50,00;0,00;0,00;0,00;0,00;0,00;17,11;0,00;0,00;0,00;166,16;50,92;17,02;51,05;0,00;68,06
2019-07-28;17,00;0,00;35,06;69,06;0,00;34,00;17,00;0,00;51,00;0,00;34,00;68,00;0,00;0,00;0,00;283,33;17,00;17,00;51,00;17,00;34,00
2019-08-04;85,00;0,00;16,79;33,58;0,00;34,00;0,00;17,00;34,00;0,00;67,71;51,86;0,00;0,00;0,00;202,90;32,90;17,00;34,00;0,00;34,00
2019-08-11;16,00;0,00;16,00;16,00;16,00;48,00;0,00;0,00;16,00;0,00;16,00;49,45;0,00;0,00;0,00;173,33;0,00;81,07;81,07;0,00;16,00
2019-08-18;16,00;0,00;47,00;0,00;16,00;16,00;0,00;0,00;32,00;0,00;16,00;66,91;0,00;0,00;0,00;48,00;16,00;16,00;16,00;0,00;0,00
2019-08-25;15,00;0,00;0,00;30,00;0,00;31,00;0,00;0,00;15,00;0,00;30,00;30,00;0,00;0,00;0,00;100,00;0,00;15,00;15,00;0,00;0,00
2019-09-01;15,00;0,00;30,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;81,00;0,00;0,00;15,00;0,00;0,00
2019-09-08;15,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;43,64;43,64;0,00;0,00;0,00;70,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;42,00;0,00;0,00;0,00;16,00;5,00;0,00;14,00;0,00;0,00
2019-09-22;0,00;0,00;14,00;14,00;0,00;15,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;16,00;5,00;0,00;28,00;0,00;0,00
2019-09-29;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;10,00;20,00;0,00;0,00;0,00;5,00;0,00;14,00;27,00;0,00;0,00
2019-10-06;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;44,80;0,00;0,00;0,00;14,00;27,00
2019-10-13;0,00;0,00;28,00;0,00;14,00;0,00;0,00;0,00;15,00;0,00;0,00;10,00;10,00;0,00;5,00;27,00;0,00;14,00;0,00;0,00;0,00
2019-10-20;15,00;0,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;15,00;31,50;0,00;0,00;0,00;48,00;0,00;0,00;15,00;15,00;15,00
2019-10-27;0,00;0,00;0,00;14,00;0,00;14,00;0,00;0,00;14,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;5,00;0,00;14,00;0,00;14,00
2019-11-03;0,00;0,00;28,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;20,00;30,00;0,00;0,00;0,00;0,00;5,00;0,00;14,00;27,00;0,00
2019-11-10;0,00;0,00;0,00;14,00;0,00;29,00;0,00;0,00;14,00;0,00;10,00;20,00;0,00;5,00;0,00;21,00;0,00;14,00;0,00;0,00;0,00
2019-11-17;0,00;0,00;14,00;28,00;0,00;29,00;0,00;0,00;29,00;0,00;31,00;10,00;0,00;0,00;0,00;5,00;0,00;41,00;0,00;0,00;0,00
