Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;69,00;125,45;28,23;56,45;40,77;28,00;14,00;14,00;82,00;14,00;69,00;27,00;27,00;0,00;14,00;0,00;0,00;0,00;28,00;14,00;55,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;28,00;96,44;124,44;40,44;40,44;83,00;14,00;27,00;55,00;0,00;0,00;27,00;69,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;0,00;35,00;26,00;30,00;4,00;0,00;0,00;13,00;27,00;27,00;0,00;67,00;13,00;13,00;67,00;0,00;0,00;0,00;13,00;13,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;40,00;107,69;40,00;40,00;52,31;67,00;13,00;27,00;13,00;40,00;13,00;40,00;27,00;40,00;0,00;0,00;13,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;126,00;45,50;108,50;14,00;28,00;0,00;0,00;41,00;14,00;14,00;41,00;14,00;0,00;27,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;28,00;112,00;56,00;28,00;68,44;14,00;14,00;14,00;42,00;28,00;14,00;14,00;28,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;14,00;156,80;39,20;25,20;39,20;0,00;0,00;0,00;14,00;0,00;0,00;87,00;29,00;0,00;14,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;28,00;127,56;56,00;28,00;28,00;28,00;42,00;42,00;28,00;0,00;0,00;28,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;71,00;55,57;71,00;55,57;27,78;14,00;0,00;28,00;28,00;0,00;14,00;42,00;14,00;14,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;27,00;39,00;39,00;39,00;27,00;41,00;0,00;0,00;14,00;14,00;0,00;41,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;28,00;28,00;68,44;28,00;40,44;14,00;14,00;14,00;14,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;14,00;14,00;14,00;25,20;0,00;14,00;0,00;14,00;28,00;14,00;0,00;14,00;14,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;0,00;27,00;18,00;9,00;0,00;14,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;14,00;50,40;0,00;14,00;14,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;15,00;15,00;57,00;0,00;15,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;15,00;84,00;57,00;0,00;42,00;15,00;15,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;0,00;4,00;9,00;9,00;4,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;9,00;13,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;14,00;31,50;94,50;14,00;0,00;0,00;14,00;0,00;14,00;0,00;14,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;27,00;27,00;171,00;0,00;12,00;14,00;14,00;14,00;0,00;0,00;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
