Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;14,00;43,08;14,00;43,08;0,00;14,00;0,00;14,00;14,00
2019-01-13;41,00;13,33;13,33;13,33;0,00;14,00;0,00;27,00;0,00
2019-01-20;40,00;13,33;26,67;26,67;0,00;0,00;0,00;0,00;0,00
2019-01-27;40,00;26,67;13,33;26,67;13,33;0,00;0,00;27,00;0,00
2019-02-03;0,00;54,00;27,00;27,00;0,00;0,00;14,00;0,00;14,00
2019-02-10;28,00;14,52;14,52;0,00;0,00;0,00;0,00;14,00;14,00
2019-02-17;0,00;28,00;0,00;14,00;0,00;14,00;14,00;43,00;14,00
2019-02-24;42,00;14,34;42,00;42,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;0,00;41,00;41,00;14,00;0,00;14,00;14,00;0,00;0,00
2019-03-10;27,00;55,04;0,00;68,54;27,00;0,00;13,00;27,00;0,00
2019-03-17;27,00;27,00;13,00;27,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;28,00;0,00;14,52;28,00;0,00;0,00;14,00;14,00;14,00
2019-03-31;14,00;0,00;68,00;27,00;14,00;14,00;0,00;70,00;14,00
2019-04-07;28,00;28,00;42,52;28,00;0,00;0,00;0,00;69,00;14,00
2019-04-14;0,00;14,00;0,00;0,00;0,00;0,00;0,00;14,00;14,00
2019-04-21;0,00;14,00;28,00;14,00;0,00;0,00;0,00;14,00;14,00
2019-04-28;41,00;41,00;0,00;27,68;0,00;0,00;0,00;14,00;0,00
2019-05-05;13,00;26,00;13,00;13,00;0,00;0,00;0,00;40,00;0,00
2019-05-12;27,00;27,00;13,00;27,00;0,00;0,00;0,00;55,00;14,00
2019-05-19;0,00;26,00;26,00;40,00;0,00;13,00;13,00;13,00;0,00
2019-05-26;67,00;26,39;0,00;40,61;0,00;0,00;0,00;40,00;0,00
2019-06-02;0,00;13,00;13,00;25,00;0,00;0,00;0,00;0,00;13,00
2019-06-09;13,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;0,00;0,00;26,00;65,00;0,00;0,00;0,00;27,00;0,00
2019-06-23;0,00;26,00;0,00;26,00;0,00;0,00;40,00;13,00;0,00
2019-06-30;27,00;27,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00
2019-07-07;40,00;13,33;13,33;67,69;0,00;0,00;0,00;13,00;27,00
2019-07-14;0,00;56,00;14,00;56,00;0,00;14,00;14,00;57,00;0,00
2019-07-21;15,00;0,00;0,00;29,00;0,00;0,00;0,00;30,00;15,00
2019-07-28;30,00;30,00;15,00;59,00;0,00;0,00;0,00;75,00;15,00
2019-08-04;30,00;0,00;15,52;30,00;15,52;0,00;45,00;45,00;15,00
2019-08-11;14,00;0,00;14,00;56,00;0,00;0,00;43,00;28,00;14,00
2019-08-18;58,00;43,75;0,00;28,49;0,00;0,00;0,00;0,00;0,00
2019-08-25;27,00;27,00;27,00;40,00;0,00;0,00;0,00;14,00;14,00
2019-09-01;39,00;0,00;52,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;27,00;27,00;41,54;0,00;27,00;0,00;0,00;0,00;0,00
2019-09-15;40,00;0,00;0,00;13,33;0,00;0,00;0,00;26,00;0,00
2019-09-22;39,00;39,00;13,34;13,34;13,34;0,00;13,00;65,00;0,00
2019-09-29;38,00;13,00;13,00;0,00;13,00;0,00;0,00;13,00;13,00
2019-10-06;26,00;39,52;26,00;39,52;0,00;0,00;0,00;25,00;0,00
2019-10-13;26,00;39,00;39,00;26,00;0,00;13,00;0,00;0,00;0,00
2019-10-20;0,00;39,00;26,00;39,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;0,00;12,00;12,00;37,00;0,00;13,00;0,00;13,00;13,00
2019-11-03;51,00;0,00;25,50;38,76;13,26;0,00;13,00;13,00;0,00
2019-11-10;13,00;38,00;0,00;38,00;0,00;0,00;0,00;26,00;13,00
2019-11-17;13,00;13,00;0,00;13,00;13,00;0,00;13,00;13,00;0,00
2019-11-24;25,00;63,54;0,00;63,54;0,00;12,00;0,00;25,00;0,00
2019-12-01;39,00;51,00;13,00;26,00;0,00;0,00;13,00;13,00;13,00
2019-12-08;52,00;78,51;26,51;0,00;13,25;0,00;13,00;39,00;0,00
2019-12-15;51,00;89,76;13,26;0,00;0,00;0,00;0,00;13,00;0,00
2019-12-22;14,00;28,00;0,00;42,00;14,00;0,00;0,00;0,00;14,00
2019-12-29;13,00;40,00;26,00;0,00;0,00;27,00;0,00;40,00;13,00
2020-01-05;25,00;0,00;25,00;25,00;12,00;25,00;0,00;50,00;0,00
2020-01-12;73,00;36,50;24,33;36,50;0,00;0,00;0,00;37,00;12,00
2020-01-19;25,00;101,04;12,50;50,00;12,50;0,00;0,00;49,00;0,00
2020-01-26;0,00;37,00;37,00;12,00;0,00;25,00;12,00;37,00;0,00
2020-02-02;25,00;25,00;12,50;51,04;0,00;0,00;0,00;25,00;0,00
2020-02-09;12,00;12,00;12,00;12,00;0,00;0,00;0,00;24,00;0,00
2020-02-16;12,00;85,00;24,00;24,00;0,00;12,00;12,00;87,00;12,00
2020-02-23;0,00;12,00;12,00;48,00;12,00;0,00;0,00;61,00;12,00
2020-03-01;24,00;12,00;0,00;12,00;12,00;0,00;12,00;36,00;0,00
2020-03-08;23,00;68,00;23,00;11,00;11,00;0,00;0,00;81,00;0,00
2020-03-15;23,00;0,00;23,00;0,00;0,00;12,00;12,00;47,00;12,00
2020-03-22;11,00;11,00;22,00;11,00;0,00;0,00;23,00;11,00;11,00
2020-03-29;11,00;11,00;33,00;33,00;0,00;0,00;11,00;22,00;0,00
2020-04-05;12,00;0,00;0,00;75,27;0,00;23,00;0,00;0,00;0,00
2020-04-12;0,00;34,00;11,00;11,00;0,00;0,00;0,00;12,00;0,00
2020-04-19;34,00;0,00;11,00;0,00;0,00;23,00;0,00;34,00;0,00
2020-04-26;23,00;23,00;0,00;23,00;0,00;0,00;57,00;23,00;0,00
2020-05-03;11,00;34,00;11,00;22,00;22,00;0,00;0,00;11,00;0,00
2020-05-10;67,00;22,68;34,02;22,68;11,34;0,00;0,00;0,00;11,00
2020-05-17;23,00;0,00;0,00;46,00;0,00;11,00;0,00;11,00;0,00
2020-05-24;33,00;0,00;0,00;22,00;0,00;0,00;0,00;33,00;0,00
2020-05-31;32,00;0,00;0,00;21,68;0,00;11,00;0,00;21,00;11,00
2020-06-07;21,00;11,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00
