Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;28,00;658,00;14,00;28,00;7,00;5,00;18,00;5,00;9,00;9,00;9,00;5,00;5,00
2019-01-13;51,00;510,00;25,50;25,50;25,50;5,00;5,00;18,00;0,00;5,00;9,00;0,00;5,00
2019-01-20;45,00;570,00;15,00;15,00;15,00;13,00;13,00;9,00;4,00;4,00;13,00;0,00;0,00
2019-01-27;22,00;451,00;11,00;5,50;11,00;13,00;9,00;4,00;0,00;13,00;0,00;0,00;0,00
2019-02-03;18,00;720,00;36,00;18,00;18,00;32,00;18,00;5,00;14,00;5,00;0,00;0,00;5,00
2019-02-10;37,00;542,67;24,67;24,67;12,33;14,00;28,00;0,00;5,00;5,00;5,00;5,00;5,00
2019-02-17;24,00;528,00;12,00;24,00;6,00;14,00;5,00;10,00;10,00;5,00;5,00;5,00;0,00
2019-02-24;23,00;517,50;5,75;5,75;23,00;23,00;5,00;0,00;9,00;23,00;0,00;5,00;0,00
2019-03-03;14,00;644,00;14,00;7,00;7,00;28,00;23,00;14,00;33,00;19,00;5,00;0,00;0,00
2019-03-10;36,00;516,00;24,00;12,00;12,00;18,00;9,00;5,00;5,00;0,00;5,00;9,00;0,00
2019-03-17;28,00;546,00;28,00;0,00;28,00;32,00;9,00;0,00;14,00;9,00;0,00;0,00;5,00
2019-03-24;28,00;462,00;28,00;14,00;14,00;14,00;28,00;9,00;19,00;0,00;9,00;0,00;5,00
2019-03-31;23,00;483,00;11,50;11,50;23,00;38,00;9,00;14,00;14,00;9,00;5,00;5,00;9,00
2019-04-07;37,00;579,67;12,33;12,33;12,33;19,00;37,00;9,00;14,00;5,00;0,00;5,00;5,00
2019-04-14;24,00;1200,00;24,00;12,00;12,00;10,00;14,00;14,00;5,00;10,00;14,00;10,00;5,00
2019-04-21;49,00;710,50;6,13;12,25;12,25;24,00;29,00;10,00;5,00;19,00;5,00;0,00;0,00
2019-04-28;92,00;696,57;26,29;26,29;13,14;18,00;9,00;14,00;9,00;23,00;0,00;14,00;9,00
2019-05-05;54,00;513,00;27,00;40,50;27,00;14,00;18,00;22,00;9,00;9,00;0,00;4,00;0,00
2019-05-12;55,00;618,75;13,75;13,75;13,75;5,00;23,00;18,00;14,00;9,00;5,00;9,00;0,00
2019-05-19;77,00;539,00;25,67;12,83;12,83;36,00;18,00;18,00;18,00;5,00;5,00;5,00;0,00
2019-05-26;72,00;720,00;14,40;14,40;43,20;59,00;13,00;40,00;14,00;23,00;0,00;14,00;5,00
2019-06-02;47,00;669,75;11,75;11,75;23,50;30,00;34,00;26,00;13,00;17,00;9,00;4,00;4,00
2019-06-09;54,00;486,00;13,50;6,75;27,00;22,00;31,00;22,00;4,00;13,00;9,00;13,00;0,00
2019-06-16;81,00;459,00;6,75;13,50;27,00;18,00;40,00;13,00;9,00;9,00;0,00;4,00;0,00
2019-06-23;96,00;480,00;13,71;6,86;27,43;32,00;32,00;18,00;9,00;5,00;9,00;9,00;5,00
2019-06-30;100,00;542,86;14,29;28,57;85,71;27,00;32,00;23,00;23,00;18,00;5,00;5,00;14,00
2019-07-07;81,00;756,00;27,00;13,50;27,00;59,00;36,00;22,00;22,00;22,00;13,00;0,00;9,00
2019-07-14;63,00;705,60;25,20;25,20;25,20;34,00;43,00;14,00;34,00;43,00;19,00;19,00;19,00
2019-07-21;86,00;745,33;28,67;14,33;43,00;30,00;20,00;35,00;35,00;20,00;10,00;0,00;15,00
2019-07-28;76,00;760,00;25,33;38,00;38,00;30,00;50,00;30,00;20,00;35,00;15,00;0,00;0,00
2019-08-04;61,00;646,60;36,60;24,40;48,80;30,00;25,00;10,00;5,00;30,00;10,00;10,00;5,00
2019-08-11;72,00;792,00;14,40;14,40;43,20;43,00;9,00;28,00;14,00;24,00;10,00;5,00;5,00
2019-08-18;59,00;737,50;29,50;44,25;14,75;29,00;15,00;19,00;0,00;10,00;0,00;0,00;5,00
2019-08-25;83,00;498,00;27,67;13,83;6,92;42,00;28,00;18,00;23,00;14,00;0,00;5,00;0,00
2019-09-01;62,00;570,40;6,20;24,80;12,40;4,00;22,00;13,00;4,00;22,00;4,00;4,00;0,00
2019-09-08;32,00;720,00;16,00;16,00;32,00;9,00;9,00;14,00;14,00;5,00;9,00;5,00;5,00
2019-09-15;63,00;592,20;12,60;12,60;12,60;31,00;18,00;13,00;0,00;4,00;0,00;0,00;0,00
2019-09-22;22,00;528,00;22,00;11,00;0,00;30,00;30,00;30,00;13,00;9,00;9,00;0,00;4,00
2019-09-29;43,00;559,00;7,17;28,67;43,00;4,00;4,00;0,00;4,00;0,00;9,00;0,00;0,00
