Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;64,00;13,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,59;50,94;0,00;0,00;0,00;52,71;0,00;0,00;0,00;6,00;6,00
2019-01-13;37,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,00;48,48;0,00;0,00;0,00;81,40;0,00;0,00;0,00;6,00;6,00
2019-01-20;25,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,58;75,00;0,00;0,00;0,00;53,57;0,00;0,00;0,00;0,00;0,00
2019-01-27;55,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;6,00;6,40;11,51;35,81;0,00;0,00;0,00;99,00;0,00;0,00;19,00;6,00;6,00
2019-02-03;36,00;6,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;65,57;0,00;0,00;0,00;64,80;0,00;0,00;0,00;12,00;0,00
2019-02-10;55,00;0,00;18,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;11,51;30,70;0,00;0,00;0,00;55,00;0,00;0,00;6,00;0,00;0,00
2019-02-17;55,00;6,00;18,00;0,00;0,00;0,00;0,00;0,00;6,00;6,40;11,51;48,60;0,00;0,00;0,00;47,67;0,00;0,00;6,00;0,00;0,00
2019-02-24;49,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,46;62,24;0,00;0,00;0,00;82,92;0,00;0,00;12,00;0,00;0,00
2019-03-03;68,00;37,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,54;61,46;0,00;0,00;0,00;42,95;0,00;0,00;6,00;0,00;0,00
2019-03-10;88,00;13,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,47;68,59;0,00;0,00;0,00;36,67;0,00;0,00;0,00;0,00;0,00
2019-03-17;19,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,33;36,73;0,00;0,00;0,00;72,20;0,00;0,00;6,00;6,00;0,00
2019-03-24;38,00;13,00;13,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;31,45;64,21;0,00;0,00;0,00;38,00;0,00;0,00;6,00;19,00;0,00
2019-03-31;57,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,95;69,95;0,00;0,00;0,00;32,06;0,00;0,00;0,00;6,00;0,00
2019-04-07;64,00;13,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;13,06;70,53;0,00;0,00;0,00;86,59;0,00;0,00;0,00;6,00;0,00
2019-04-14;59,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;12,83;91,07;0,00;0,00;0,00;73,75;0,00;0,00;0,00;20,00;0,00
2019-04-21;52,00;0,00;20,00;7,00;0,00;0,00;0,00;0,00;0,00;6,50;32,50;58,50;0,00;0,00;0,00;111,43;0,00;0,00;0,00;0,00;7,00
2019-04-28;88,00;0,00;19,00;6,00;0,00;6,00;0,00;13,00;0,00;6,47;6,47;24,59;0,00;0,00;0,00;106,33;0,00;0,00;6,00;0,00;0,00
2019-05-05;58,00;13,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;19,77;90,95;0,00;0,00;0,00;83,38;0,00;0,00;6,00;6,00;6,00
2019-05-12;39,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,50;39,00;0,00;0,00;0,00;39,00;0,00;0,00;0,00;7,00;0,00
2019-05-19;52,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,50;58,50;0,00;0,00;0,00;78,00;0,00;0,00;0,00;7,00;7,00
2019-05-26;80,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,55;52,90;0,00;0,00;0,00;87,27;0,00;0,00;0,00;13,00;7,00
2019-06-02;45,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,86;69,43;0,00;0,00;0,00;375,00;0,00;0,00;0,00;6,00;0,00
2019-06-09;98,00;6,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;6,53;13,07;111,07;0,00;0,00;7,26;123,41;0,00;0,00;0,00;0,00;13,00
2019-06-16;72,00;7,00;13,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;26,18;65,45;0,00;0,00;0,00;60,63;0,00;0,00;0,00;7,00;7,00
2019-06-23;47,00;0,00;27,00;0,00;0,00;0,00;0,00;7,00;0,00;6,53;0,00;53,53;0,00;0,00;0,00;57,85;0,00;0,00;7,00;7,00;0,00
2019-06-30;61,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,77;46,72;0,00;0,00;0,00;53,82;0,00;0,00;0,00;7,00;7,00
2019-07-07;52,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;78,00;0,00;0,00;0,00;66,86;0,00;0,00;26,00;0,00;0,00
2019-07-14;66,00;7,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,88;59,53;0,00;0,00;0,00;51,33;18,33;0,00;7,00;0,00;0,00
2019-07-21;87,00;7,00;40,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;12,99;80,51;0,00;0,00;7,25;72,50;0,00;0,00;7,00;0,00;7,00
2019-07-28;40,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;6,45;59,35;0,00;0,00;0,00;47,27;0,00;0,00;13,00;0,00;7,00
2019-08-04;45,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,43;45,00;0,00;0,00;7,50;67,50;0,00;0,00;6,00;0,00;6,00
2019-08-11;38,00;0,00;6,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;6,33;62,07;0,00;7,60;0,00;38,00;7,60;0,00;0,00;0,00;6,00
2019-08-18;44,00;6,00;25,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,47;56,94;0,00;0,00;0,00;69,67;0,00;0,00;6,00;6,00;0,00
2019-08-25;56,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;13,02;80,74;6,51;0,00;0,00;82,13;0,00;0,00;0,00;6,00;0,00
2019-09-01;48,00;6,00;12,00;0,00;0,00;0,00;6,00;0,00;0,00;11,68;11,68;77,84;6,49;0,00;0,00;55,38;7,38;0,00;6,00;0,00;6,00
2019-09-08;30,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,52;41,74;0,00;0,00;0,00;48,75;0,00;0,00;0,00;0,00;0,00
2019-09-15;35,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,81;0,00;0,00;0,00;63,00;0,00;0,00;0,00;6,00;12,00
2019-09-22;78,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,50;53,30;0,00;0,00;7,43;48,29;0,00;0,00;12,00;0,00;0,00
2019-09-29;60,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,52;53,48;0,00;7,50;0,00;26,25;0,00;0,00;12,00;0,00;0,00
2019-10-06;54,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;18,00;29,57;6,43;7,20;0,00;54,00;0,00;6,00;0,00;0,00;0,00
2019-10-13;36,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,43;59,14;0,00;0,00;0,00;72,00;7,20;0,00;6,00;6,00;0,00
2019-10-20;23,00;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,50;46,00;0,00;0,00;0,00;80,50;0,00;0,00;0,00;6,00;0,00
2019-10-27;18,00;6,00;0,00;6,00;0,00;6,00;6,00;0,00;0,00;0,00;6,43;18,00;0,00;7,20;0,00;54,00;0,00;0,00;6,00;12,00;0,00
2019-11-03;53,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;16,80;11,63;0,00;0,00;0,00;60,57;0,00;0,00;12,00;0,00;6,00
2019-11-10;75,00;12,00;23,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;5,17;16,81;0,00;0,00;0,00;90,00;0,00;0,00;6,00;12,00;6,00
2019-11-17;46,00;12,00;29,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;11,50;23,00;5,11;0,00;0,00;31,85;0,00;0,00;12,00;0,00;12,00
2019-11-24;18,00;0,00;12,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;60,43;0,00;7,20;0,00;54,00;0,00;0,00;0,00;18,00;0,00
2019-12-01;40,00;6,00;17,00;6,00;0,00;0,00;0,00;0,00;0,00;5,16;23,23;51,61;0,00;0,00;0,00;50,91;0,00;0,00;6,00;6,00;0,00
2019-12-08;29,00;17,00;6,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;23,73;40,86;0,00;0,00;0,00;76,13;0,00;0,00;6,00;12,00;12,00
2019-12-15;30,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,52;41,74;6,52;0,00;0,00;67,50;7,50;0,00;12,00;0,00;0,00
2019-12-22;33,00;7,00;13,00;13,00;7,00;0,00;0,00;0,00;7,00;0,00;39,35;58,38;0,00;0,00;0,00;55,00;0,00;7,00;7,00;7,00;7,00
2019-12-29;43,00;6,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;36,48;36,48;0,00;7,17;0,00;89,58;0,00;0,00;6,00;0,00;12,00
2020-01-05;63,00;0,00;12,00;0,00;0,00;12,00;0,00;0,00;6,00;0,00;34,71;108,00;0,00;0,00;0,00;81,53;7,41;6,00;0,00;6,00;17,00
2020-01-12;49,00;5,00;22,00;11,00;0,00;5,00;0,00;0,00;0,00;0,00;16,76;103,16;0,00;0,00;0,00;79,15;0,00;0,00;0,00;11,00;5,00
2020-01-19;51,00;6,00;28,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;28,77;68,00;5,23;0,00;0,00;72,86;7,29;6,00;0,00;11,00;0,00
2020-01-26;44,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,82;121,65;0,00;0,00;7,33;84,33;0,00;0,00;0,00;6,00;6,00
2020-02-02;44,00;11,00;22,00;0,00;6,00;6,00;6,00;0,00;6,00;5,18;27,18;82,82;0,00;0,00;0,00;66,00;7,33;0,00;6,00;6,00;11,00
2020-02-09;89,00;11,00;22,00;0,00;0,00;6,00;0,00;0,00;6,00;5,16;16,77;77,39;0,00;0,00;0,00;77,88;0,00;0,00;6,00;0,00;11,00
2020-02-16;95,00;17,00;6,00;6,00;6,00;6,00;0,00;0,00;6,00;0,00;16,92;67,67;0,00;0,00;0,00;51,15;0,00;0,00;0,00;17,00;0,00
2020-02-23;33,00;11,00;38,00;11,00;0,00;0,00;5,00;0,00;0,00;0,00;27,72;55,44;0,00;0,00;0,00;80,67;0,00;0,00;5,00;0,00;5,00
2020-03-01;43,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,21;15,64;32,58;0,00;0,00;0,00;57,33;0,00;5,00;5,00;5,00;11,00
2020-03-08;54,00;16,00;11,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;10,54;48,73;0,00;0,00;0,00;57,60;0,00;0,00;0,00;5,00;0,00
2020-03-15;11,00;0,00;11,00;0,00;0,00;5,00;5,00;0,00;11,00;0,00;16,50;83,88;0,00;0,00;0,00;25,67;3,67;0,00;5,00;11,00;11,00
2020-03-22;21,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;10,00;0,00;21,00;57,75;5,25;3,50;0,00;21,00;0,00;0,00;5,00;10,00;0,00
2020-03-29;25,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;25,00;55,26;0,00;0,00;3,57;28,57;0,00;0,00;5,00;5,00;0,00
2020-04-05;21,00;5,00;10,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;15,75;31,50;0,00;0,00;0,00;24,50;0,00;0,00;0,00;10,00;0,00
2020-04-12;49,00;15,00;5,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;14,18;38,68;0,00;0,00;0,00;26,38;0,00;0,00;5,00;0,00;5,00
2020-04-19;39,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,40;24,70;33,80;0,00;0,00;0,00;28,36;0,00;0,00;0,00;5,00;0,00
2020-04-26;15,00;15,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,45;5,45;46,36;0,00;0,00;3,75;26,25;0,00;0,00;0,00;5,00;0,00
2020-05-03;35,00;0,00;0,00;0,00;0,00;10,00;5,00;0,00;5,00;0,00;14,26;35,00;0,00;0,00;0,00;46,67;0,00;0,00;5,00;0,00;0,00
2020-05-10;15,00;10,00;5,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;10,00;58,75;0,00;0,00;3,75;52,50;0,00;0,00;0,00;0,00;10,00
2020-05-17;56,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;15,63;45,58;0,00;0,00;0,00;41,07;0,00;0,00;0,00;5,00;10,00
2020-05-24;47,00;10,00;16,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;10,44;57,44;0,00;0,00;0,00;32,54;0,00;0,00;5,00;5,00;0,00
2020-05-31;20,00;0,00;0,00;0,00;0,00;0,00;10,00;5,00;0,00;5,33;36,00;36,00;0,00;0,00;0,00;60,00;0,00;0,00;5,00;15,00;5,00
2020-06-07;46,00;15,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,11;46,00;0,00;0,00;0,00;49,54;0,00;0,00;10,00;15,00;10,00
2020-06-14;16,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;5,00;0,00;5,33;72,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;5,00;11,00
2020-06-21;38,00;11,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,24;10,48;15,72;0,00;0,00;0,00;68,40;0,00;0,00;5,00;11,00;11,00
2020-06-28;28,00;6,00;0,00;0,00;0,00;11,00;0,00;0,00;6,00;0,00;11,45;33,09;0,00;0,00;0,00;38,50;0,00;0,00;0,00;6,00;0,00
2020-07-05;28,00;0,00;11,00;6,00;6,00;6,00;6,00;0,00;11,00;0,00;22,67;34,67;0,00;17,50;0,00;21,00;0,00;0,00;17,00;6,00;6,00
2020-07-12;11,00;0,00;11,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;41,56;0,00;0,00;0,00;44,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;22,00;6,00;17,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;22,00;55,65;5,18;0,00;0,00;33,00;0,00;0,00;6,00;0,00;0,00
2020-07-26;34,00;6,00;6,00;0,00;6,00;11,00;0,00;0,00;0,00;0,00;28,77;34,00;5,23;0,00;0,00;30,22;0,00;0,00;0,00;0,00;6,00
2020-08-02;39,00;11,00;11,00;6,00;0,00;11,00;6,00;6,00;0,00;0,00;5,20;49,40;0,00;0,00;7,09;81,55;0,00;0,00;0,00;6,00;11,00
2020-08-09;28,00;0,00;11,00;6,00;0,00;0,00;0,00;0,00;11,00;0,00;17,33;28,00;5,33;0,00;0,00;38,50;0,00;0,00;6,00;0,00;6,00
2020-08-16;16,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;4,92;46,77;0,00;0,00;0,00;108,00;0,00;0,00;11,00;0,00;0,00
2020-08-23;27,00;16,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;16,20;27,00;0,00;0,00;0,00;23,14;0,00;0,00;11,00;5,00;0,00
2020-08-30;16,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;48,00;5,33;0,00;0,00;52,00;0,00;5,00;0,00;0,00;5,00
2020-09-06;27,00;5,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;5,40;16,20;27,00;0,00;0,00;0,00;27,00;3,86;0,00;0,00;5,00;5,00
