Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;35,00;10,00;1,25;6,25;5,00;2,00;5,00;3,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;63,00;10,08;0,00;3,78;5,04;0,00;6,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;34,00;7,56;1,26;5,04;1,26;0,00;6,00;5,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;51,00;11,20;0,00;6,22;3,73;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;55,00;7,67;0,00;6,40;5,12;0,00;3,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;45,00;6,43;0,00;6,43;0,00;2,00;8,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;46,00;6,22;0,00;12,43;0,00;0,00;6,00;8,00;0,00;0,00;2,00;2,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;51,00;11,48;3,83;3,83;1,28;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;2,00;0,00;0,00
2019-03-03;53,00;10,10;1,26;10,10;1,26;0,00;10,00;3,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;63,00;10,29;1,29;3,86;0,00;0,00;3,00;8,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;58,00;15,13;0,00;5,04;1,26;2,00;20,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-03-24;43,00;3,79;0,00;10,12;1,26;2,00;12,00;7,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;53,00;6,31;0,00;12,62;5,05;0,00;2,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00
2019-04-07;57,00;8,87;0,00;0,00;0,00;0,00;13,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;33,00;17,77;0,00;10,15;0,00;0,00;14,00;7,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-04-21;59,00;13,81;0,00;0,00;0,00;2,00;12,00;14,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-04-28;47,00;16,51;1,27;5,08;1,27;0,00;8,00;7,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2019-05-05;57,00;6,33;0,00;5,07;5,07;3,00;18,00;7,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;70,00;20,36;1,27;8,91;1,27;0,00;24,00;5,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00
2019-05-19;67,00;18,96;1,26;6,32;0,00;0,00;29,00;10,00;0,00;0,00;0,00;0,00;2,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;66,00;8,88;0,00;13,96;0,00;0,00;17,00;12,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;52,00;10,15;5,07;6,34;1,27;2,00;13,00;13,00;2,00;0,00;2,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;66,00;15,23;0,00;6,35;5,08;5,00;24,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2019-06-16;78,00;15,10;1,26;5,03;3,77;2,00;8,00;14,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
