Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;86,00;16,00;26,00;7,00;2,00;21,00;2,00;36,00;7,00
2019-01-13;100,00;11,00;18,00;10,00;0,00;22,00;4,00;22,00;3,00
2019-01-20;92,00;17,00;15,00;6,00;3,00;13,00;0,00;18,00;6,00
2019-01-27;99,00;14,00;17,00;7,00;2,00;16,00;1,00;27,00;5,00
2019-02-03;74,00;15,00;9,00;8,00;2,00;18,00;3,00;30,00;4,00
2019-02-10;85,00;14,00;17,00;5,00;0,00;16,00;3,00;28,00;4,00
2019-02-17;95,00;14,00;12,00;10,00;1,00;19,00;1,00;17,00;3,00
2019-02-24;53,00;16,00;12,00;9,00;0,00;18,00;1,00;34,00;5,00
2019-03-03;87,00;11,00;13,00;6,00;0,00;16,00;1,00;14,00;4,00
2019-03-10;66,00;11,00;13,00;10,00;1,00;18,00;2,00;20,00;9,00
2019-03-17;69,00;13,00;17,00;10,00;2,00;21,00;5,00;23,00;3,00
2019-03-24;71,00;10,00;7,00;9,00;4,00;17,00;2,00;25,00;11,00
2019-03-31;79,00;12,00;7,00;11,00;1,00;18,00;0,00;20,00;7,00
2019-04-07;64,00;2,00;9,00;4,00;2,00;26,00;2,00;17,00;6,00
2019-04-14;60,00;5,00;10,00;7,00;2,00;12,00;2,00;24,00;7,00
2019-04-21;61,00;10,00;10,00;11,00;1,00;15,00;3,00;27,00;7,00
2019-04-28;62,00;12,00;11,00;5,00;1,00;14,00;2,00;20,00;5,00
2019-05-05;74,00;12,00;4,00;13,00;1,00;7,00;0,00;16,00;5,00
2019-05-12;73,00;10,00;7,00;9,00;2,00;9,00;0,00;22,00;9,00
2019-05-19;70,00;4,00;5,00;5,00;1,00;19,00;5,00;19,00;5,00
2019-05-26;72,00;5,00;8,00;9,00;0,00;15,00;1,00;19,00;6,00
2019-06-02;57,00;10,00;12,00;7,00;0,00;9,00;1,00;14,00;3,00
2019-06-09;75,00;7,00;13,00;4,00;2,00;16,00;0,00;21,00;6,00
2019-06-16;55,00;8,00;26,00;13,00;1,00;17,00;1,00;17,00;4,00
2019-06-23;64,00;13,00;74,00;6,00;3,00;12,00;0,00;21,00;5,00
2019-06-30;66,00;8,00;9,00;12,00;3,00;17,00;0,00;17,00;6,00
2019-07-07;53,00;13,00;4,00;8,00;2,00;14,00;1,00;23,00;3,00
2019-07-14;57,00;11,00;9,00;19,00;2,00;13,00;2,00;28,00;6,00
2019-07-21;77,00;3,00;6,00;8,00;1,00;18,00;0,00;26,00;9,00
2019-07-28;64,00;12,00;8,00;33,00;1,00;12,00;3,00;27,00;9,00
2019-08-04;68,00;8,00;8,00;15,00;0,00;16,00;2,00;18,00;5,00
2019-08-11;67,00;13,00;8,00;16,00;1,00;18,00;3,00;20,00;7,00
2019-08-18;67,00;7,00;6,00;7,00;3,00;13,00;2,00;22,00;6,00
2019-08-25;74,00;7,00;11,00;6,00;0,00;16,00;1,00;22,00;6,00
2019-09-01;51,00;10,00;8,00;5,00;2,00;11,00;2,00;22,00;2,00
2019-09-08;57,00;9,00;11,00;9,00;1,00;12,00;2,00;24,00;5,00
2019-09-15;63,00;8,00;14,00;12,00;2,00;11,00;3,00;22,00;7,00
2019-09-22;53,00;8,00;16,00;10,00;2,00;9,00;3,00;19,00;5,00
2019-09-29;64,00;13,00;14,00;8,00;3,00;12,00;2,00;15,00;8,00
2019-10-06;67,00;11,00;9,00;4,00;0,00;9,00;3,00;20,00;6,00
2019-10-13;62,00;11,00;13,00;4,00;3,00;12,00;2,00;15,00;4,00
2019-10-20;61,00;11,00;10,00;11,00;2,00;11,00;4,00;11,00;8,00
2019-10-27;64,00;8,00;11,00;9,00;2,00;10,00;2,00;15,00;3,00
2019-11-03;67,00;17,00;13,00;14,00;0,00;9,00;4,00;13,00;8,00
2019-11-10;60,00;13,00;16,00;10,00;2,00;19,00;1,00;14,00;4,00
2019-11-17;60,00;14,00;10,00;11,00;2,00;19,00;0,00;12,00;4,00
2019-11-24;52,00;13,00;16,00;11,00;0,00;16,00;5,00;16,00;6,00
2019-12-01;57,00;11,00;13,00;18,00;2,00;13,00;2,00;16,00;7,00
2019-12-08;66,00;16,00;19,00;10,00;1,00;13,00;1,00;14,00;7,00
2019-12-15;63,00;11,00;11,00;12,00;3,00;12,00;2,00;22,00;9,00
2019-12-22;60,00;15,00;9,00;10,00;3,00;28,00;1,00;23,00;9,00
2019-12-29;69,00;6,00;18,00;18,00;1,00;37,00;0,00;35,00;9,00
2020-01-05;69,00;13,00;16,00;5,00;4,00;22,00;4,00;33,00;11,00
2020-01-12;82,00;16,00;25,00;9,00;1,00;19,00;5,00;30,00;8,00
2020-01-19;72,00;20,00;15,00;13,00;1,00;21,00;1,00;28,00;6,00
2020-01-26;72,00;9,00;17,00;7,00;2,00;18,00;5,00;17,00;7,00
2020-02-02;52,00;14,00;16,00;13,00;0,00;26,00;5,00;32,00;10,00
2020-02-09;69,00;11,00;12,00;4,00;2,00;20,00;3,00;30,00;8,00
2020-02-16;73,00;16,00;14,00;8,00;3,00;21,00;1,00;27,00;8,00
2020-02-23;49,00;23,00;11,00;7,00;2,00;20,00;3,00;23,00;8,00
2020-03-01;70,00;10,00;14,00;12,00;1,00;12,00;1,00;14,00;6,00
2020-03-08;74,00;17,00;9,00;12,00;1,00;17,00;5,00;25,00;3,00
2020-03-15;60,00;12,00;10,00;12,00;3,00;12,00;5,00;17,00;7,00
2020-03-22;54,00;9,00;5,00;12,00;1,00;7,00;3,00;9,00;4,00
2020-03-29;44,00;8,00;5,00;13,00;0,00;11,00;3,00;14,00;8,00
2020-04-05;50,00;10,00;10,00;14,00;1,00;9,00;6,00;9,00;4,00
2020-04-12;48,00;10,00;7,00;8,00;3,00;9,00;3,00;5,00;7,00
2020-04-19;39,00;10,00;11,00;11,00;3,00;11,00;2,00;8,00;7,00
2020-04-26;46,00;9,00;13,00;11,00;3,00;9,00;4,00;9,00;10,00
2020-05-03;38,00;9,00;7,00;8,00;1,00;10,00;1,00;8,00;4,00
2020-05-10;45,00;9,00;5,00;7,00;1,00;4,00;6,00;10,00;1,00
2020-05-17;41,00;11,00;10,00;8,00;2,00;13,00;3,00;10,00;5,00
2020-05-24;45,00;10,00;10,00;9,00;1,00;6,00;5,00;8,00;6,00
2020-05-31;45,00;6,00;11,00;7,00;3,00;12,00;4,00;15,00;6,00
2020-06-07;52,00;7,00;7,00;7,00;1,00;11,00;1,00;15,00;6,00
2020-06-14;46,00;8,00;21,00;10,00;1,00;17,00;2,00;10,00;4,00
2020-06-21;61,00;11,00;7,00;10,00;3,00;14,00;3,00;13,00;8,00
2020-06-28;47,00;12,00;8,00;9,00;1,00;10,00;2,00;12,00;9,00
2020-07-05;34,00;11,00;9,00;5,00;0,00;14,00;4,00;7,00;5,00
2020-07-12;49,00;13,00;9,00;7,00;1,00;6,00;3,00;8,00;4,00
2020-07-19;41,00;12,00;7,00;20,00;1,00;9,00;1,00;9,00;8,00
2020-07-26;46,00;15,00;3,00;33,00;1,00;13,00;3,00;18,00;5,00
2020-08-02;52,00;9,00;14,00;14,00;4,00;12,00;6,00;11,00;3,00
2020-08-09;60,00;11,00;12,00;13,00;1,00;16,00;1,00;15,00;6,00
2020-08-16;53,00;13,00;13,00;8,00;1,00;9,00;3,00;6,00;7,00
2020-08-23;55,00;11,00;14,00;8,00;0,00;12,00;1,00;12,00;8,00
2020-08-30;60,00;9,00;7,00;9,00;2,00;8,00;4,00;8,00;5,00
2020-09-06;56,00;9,00;14,00;10,00;1,00;14,00;1,00;14,00;3,00
2020-09-13;62,00;13,00;9,00;13,00;3,00;11,00;3,00;13,00;9,00
2020-09-20;48,00;10,00;10,00;10,00;1,00;9,00;2,00;11,00;4,00
2020-09-27;48,00;19,00;10,00;6,00;1,00;12,00;1,00;7,00;6,00
2020-10-04;39,00;5,00;10,00;5,00;1,00;21,00;1,00;7,00;13,00
2020-10-11;54,00;13,00;8,00;11,00;2,00;15,00;2,00;6,00;4,00
2020-10-18;54,00;9,00;14,00;7,00;0,00;15,00;1,00;11,00;2,00
2020-10-25;53,00;4,00;10,00;9,00;1,00;14,00;1,00;10,00;5,00
2020-11-01;38,00;7,00;7,00;3,00;1,00;11,00;1,00;7,00;3,00
2020-11-08;42,00;15,00;15,00;7,00;2,00;18,00;2,00;15,00;2,00
2020-11-15;54,00;10,00;17,00;12,00;1,00;19,00;0,00;14,00;7,00
2020-11-22;43,00;7,00;7,00;4,00;0,00;15,00;2,00;4,00;2,00
2020-11-29;48,00;9,00;7,00;13,00;0,00;17,00;3,00;9,00;2,00
2020-12-06;53,00;10,00;5,00;5,00;1,00;14,00;4,00;13,00;9,00
2020-12-13;51,00;13,00;11,00;25,00;2,00;8,00;3,00;15,00;5,00
2020-12-20;43,00;10,00;8,00;24,00;1,00;17,00;2,00;15,00;2,00
2020-12-27;63,00;11,00;10,00;19,00;1,00;38,00;1,00;16,00;8,00
2021-01-03;52,00;10,00;10,00;8,00;0,00;24,00;2,00;11,00;2,00
2021-01-10;53,00;15,00;8,00;15,00;2,00;21,00;1,00;19,00;3,00
2021-01-17;47,00;10,00;7,00;11,00;2,00;28,00;2,00;14,00;4,00
2021-01-24;39,00;11,00;5,00;13,00;1,00;18,00;3,00;12,00;3,00
2021-01-31;48,00;9,00;10,00;6,00;6,00;18,00;1,00;15,00;10,00
2021-02-07;49,00;6,00;10,00;10,00;1,00;11,00;3,00;11,00;8,00
2021-02-14;47,00;9,00;8,00;10,00;0,00;16,00;2,00;16,00;7,00
2021-02-21;39,00;10,00;8,00;15,00;2,00;14,00;2,00;13,00;3,00
2021-02-28;39,00;13,00;14,00;6,00;0,00;17,00;3,00;14,00;6,00
2021-03-07;53,00;8,00;10,00;9,00;2,00;17,00;4,00;12,00;10,00
2021-03-14;56,00;9,00;10,00;10,00;0,00;15,00;2,00;22,00;6,00
2021-03-21;49,00;12,00;13,00;16,00;2,00;21,00;2,00;17,00;4,00
2021-03-28;58,00;15,00;14,00;13,00;1,00;17,00;6,00;25,00;5,00
2021-04-04;51,00;13,00;15,00;11,00;3,00;19,00;4,00;21,00;7,00
2021-04-11;66,00;12,00;14,00;12,00;3,00;16,00;3,00;27,00;8,00
2021-04-18;49,00;14,00;13,00;8,00;0,00;13,00;3,00;21,00;8,00
2021-04-25;52,00;9,00;9,00;10,00;2,00;16,00;2,00;20,00;4,00
2021-05-02;56,00;10,00;15,00;9,00;0,00;15,00;2,00;24,00;8,00
2021-05-09;62,00;8,00;14,00;11,00;2,00;13,00;4,00;15,00;5,00
2021-05-16;63,00;17,00;14,00;9,00;2,00;18,00;2,00;23,00;4,00
2021-05-23;57,00;11,00;15,00;15,00;2,00;11,00;5,00;19,00;9,00
2021-05-30;55,00;13,00;4,00;9,00;2,00;21,00;2,00;26,00;3,00
2021-06-06;56,00;15,00;8,00;16,00;1,00;18,00;1,00;24,00;10,00
2021-06-13;61,00;13,00;12,00;10,00;0,00;17,00;2,00;21,00;3,00
2021-06-20;66,00;10,00;10,00;11,00;2,00;16,00;6,00;23,00;9,00
2021-06-27;73,00;17,00;8,00;18,00;2,00;19,00;2,00;28,00;4,00
2021-07-04;66,00;22,00;20,00;20,00;2,00;20,00;2,00;26,00;6,00
2021-07-11;77,00;57,00;86,00;13,00;4,00;21,00;3,00;21,00;3,00
2021-07-18;54,00;13,00;18,00;9,00;3,00;19,00;2,00;30,00;6,00
2021-07-25;65,00;10,00;14,00;11,00;3,00;15,00;2,00;11,00;7,00
2021-08-01;51,00;15,00;9,00;12,00;2,00;12,00;6,00;24,00;8,00
2021-08-08;67,00;20,00;11,00;16,00;2,00;16,00;3,00;16,00;3,00
2021-08-15;50,00;11,00;11,00;10,00;1,00;13,00;5,00;14,00;5,00
2021-08-22;53,00;18,00;12,00;11,00;1,00;10,00;1,00;20,00;6,00
2021-08-29;53,00;13,00;7,00;11,00;0,00;3,00;2,00;19,00;3,00
2021-09-05;45,00;10,00;13,00;14,00;3,00;9,00;3,00;20,00;7,00
2021-09-12;45,00;16,00;14,00;13,00;2,00;18,00;1,00;16,00;5,00
2021-09-19;52,00;15,00;9,00;11,00;2,00;14,00;4,00;19,00;8,00
2021-09-26;41,00;20,00;19,00;13,00;5,00;13,00;8,00;18,00;3,00
2021-10-03;39,00;10,00;8,00;16,00;1,00;18,00;6,00;19,00;7,00
2021-10-10;54,00;12,00;11,00;14,00;2,00;15,00;3,00;19,00;9,00
2021-10-17;56,00;15,00;15,00;19,00;3,00;15,00;4,00;13,00;10,00
2021-10-24;41,00;13,00;12,00;15,00;0,00;12,00;3,00;28,00;1,00
2021-10-31;44,00;8,00;12,00;20,00;2,00;15,00;3,00;25,00;7,00
2021-11-07;48,00;7,00;15,00;11,00;1,00;21,00;3,00;16,00;2,00
