Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;35,00;653,33;5,83;11,67;11,67;13,00;15,00;32,00;5,00;3,00;2,00;8,00;3,00
2019-01-13;63,00;756,00;6,30;12,60;25,20;21,00;10,00;21,00;7,00;2,00;2,00;5,00;5,00
2019-01-20;34,00;657,33;5,67;11,33;11,33;23,00;10,00;29,00;2,00;3,00;8,00;2,00;5,00
2019-01-27;51,00;663,00;0,00;12,75;12,75;18,00;21,00;21,00;6,00;5,00;5,00;13,00;3,00
2019-02-03;55,00;728,75;6,88;13,75;27,50;20,00;27,00;22,00;5,00;3,00;8,00;6,00;5,00
2019-02-10;45,00;735,00;7,50;15,00;30,00;16,00;19,00;35,00;13,00;2,00;0,00;6,00;2,00
2019-02-17;46,00;644,00;0,00;23,00;11,50;34,00;19,00;31,00;3,00;6,00;2,00;6,00;2,00
2019-02-24;51,00;726,75;6,38;25,50;12,75;17,00;14,00;48,00;6,00;0,00;2,00;6,00;2,00
2019-03-03;53,00;821,50;6,63;13,25;13,25;16,00;26,00;31,00;16,00;3,00;10,00;6,00;2,00
2019-03-10;63,00;768,60;6,30;25,20;25,20;20,00;12,00;35,00;8,00;8,00;3,00;3,00;0,00
2019-03-17;58,00;884,50;7,25;14,50;14,50;12,00;13,00;35,00;7,00;7,00;7,00;7,00;2,00
2019-03-24;43,00;831,33;7,17;14,33;14,33;25,00;32,00;35,00;8,00;5,00;0,00;5,00;3,00
2019-03-31;53,00;834,75;6,63;26,50;26,50;20,00;17,00;33,00;5,00;0,00;2,00;7,00;3,00
2019-04-07;57,00;869,25;7,13;14,25;14,25;20,00;17,00;22,00;10,00;5,00;0,00;8,00;0,00
2019-04-14;33,00;1650,00;8,25;33,00;33,00;21,00;16,00;29,00;10,00;2,00;3,00;12,00;5,00
2019-04-21;59,00;684,40;5,90;11,80;11,80;24,00;19,00;39,00;5,00;7,00;7,00;12,00;2,00
2019-04-28;47,00;716,75;11,75;11,75;11,75;33,00;13,00;33,00;7,00;5,00;3,00;11,00;3,00
2019-05-05;57,00;926,25;7,13;14,25;28,50;13,00;13,00;45,00;15,00;8,00;2,00;7,00;5,00
2019-05-12;70,00;896,00;14,00;28,00;28,00;20,00;29,00;31,00;12,00;5,00;5,00;9,00;2,00
2019-05-19;67,00;884,40;0,00;26,80;53,60;43,00;15,00;27,00;12,00;3,00;7,00;15,00;2,00
2019-05-26;66,00;897,60;0,00;13,20;26,40;26,00;17,00;35,00;10,00;3,00;7,00;12,00;3,00
2019-06-02;52,00;910,00;13,00;13,00;26,00;38,00;25,00;37,00;7,00;5,00;3,00;2,00;5,00
2019-06-09;66,00;858,00;6,60;13,20;26,40;19,00;14,00;49,00;3,00;2,00;2,00;15,00;2,00
2019-06-16;78,00;910,00;6,50;13,00;26,00;22,00;17,00;43,00;7,00;0,00;5,00;19,00;2,00
2019-06-23;56,00;1008,00;0,00;14,00;28,00;31,00;26,00;35,00;11,00;7,00;5,00;18,00;2,00
2019-06-30;81,00;1012,50;13,50;13,50;54,00;33,00;25,00;30,00;11,00;7,00;4,00;9,00;0,00
2019-07-07;69,00;897,00;6,90;13,80;27,60;22,00;17,00;25,00;8,00;5,00;2,00;8,00;3,00
2019-07-14;72,00;732,00;6,00;12,00;12,00;22,00;21,00;35,00;12,00;7,00;2,00;9,00;0,00
2019-07-21;65,00;806,00;6,50;13,00;26,00;17,00;19,00;46,00;4,00;5,00;0,00;14,00;7,00
2019-07-28;54,00;810,00;13,50;13,50;13,50;12,00;19,00;30,00;7,00;10,00;9,00;10,00;2,00
2019-08-04;59,00;684,40;5,90;23,60;11,80;22,00;15,00;46,00;5,00;2,00;2,00;15,00;2,00
2019-08-11;72,00;792,00;7,20;14,40;14,40;22,00;15,00;20,00;13,00;10,00;3,00;3,00;0,00
2019-08-18;58,00;797,50;14,50;29,00;14,50;21,00;17,00;48,00;8,00;12,00;2,00;7,00;2,00
2019-08-25;53,00;715,50;13,25;26,50;13,25;18,00;26,00;34,00;10,00;8,00;8,00;10,00;2,00
2019-09-01;69,00;855,60;13,80;13,80;27,60;33,00;22,00;33,00;9,00;13,00;5,00;9,00;2,00
2019-09-08;63,00;781,20;12,60;25,20;12,60;18,00;26,00;34,00;12,00;9,00;5,00;11,00;5,00
2019-09-15;63,00;781,20;6,30;25,20;25,20;27,00;20,00;35,00;11,00;12,00;5,00;3,00;2,00
2019-09-22;75,00;825,00;6,25;25,00;25,00;31,00;19,00;27,00;19,00;11,00;8,00;9,00;5,00
2019-09-29;53,00;821,50;6,63;26,50;39,75;29,00;14,00;23,00;16,00;9,00;5,00;11,00;3,00
2019-10-06;53,00;768,50;6,63;26,50;26,50;11,00;19,00;33,00;13,00;16,00;3,00;5,00;2,00
2019-10-13;54,00;769,50;6,75;27,00;13,50;17,00;22,00;28,00;14,00;11,00;5,00;3,00;0,00
2019-10-20;49,00;673,75;12,25;49,00;24,50;27,00;23,00;26,00;11,00;11,00;8,00;9,00;5,00
2019-10-27;42,00;728,00;7,00;28,00;28,00;15,00;22,00;26,00;8,00;2,00;2,00;6,00;5,00
2019-11-03;49,00;661,50;6,13;36,75;24,50;32,00;21,00;35,00;11,00;9,00;6,00;6,00;3,00
2019-11-10;47,00;634,50;5,88;23,50;11,75;18,00;17,00;29,00;17,00;9,00;5,00;3,00;2,00
2019-11-17;48,00;684,00;12,00;36,00;12,00;19,00;24,00;23,00;9,00;8,00;8,00;8,00;5,00
2019-11-24;38,00;633,33;12,67;25,33;25,33;22,00;18,00;26,00;19,00;14,00;8,00;6,00;2,00
2019-12-01;42,00;742,00;14,00;28,00;28,00;15,00;18,00;33,00;26,00;15,00;8,00;11,00;0,00
2019-12-08;48,00;684,00;12,00;24,00;24,00;32,00;23,00;42,00;14,00;17,00;6,00;3,00;6,00
2019-12-15;64,00;780,80;12,80;25,60;38,40;36,00;27,00;36,00;14,00;19,00;14,00;11,00;6,00
2019-12-22;91,00;975,00;13,00;52,00;39,00;42,00;38,00;51,00;17,00;7,00;12,00;3,00;9,00
2019-12-29;75,00;887,50;12,50;25,00;37,50;37,00;30,00;46,00;27,00;27,00;21,00;5,00;2,00
2020-01-05;90,00;977,14;12,86;38,57;51,43;37,00;27,00;36,00;26,00;14,00;17,00;11,00;6,00
2020-01-12;100,00;987,50;12,50;37,50;25,00;55,00;47,00;52,00;27,00;24,00;9,00;10,00;6,00
2020-01-19;97,00;1011,57;6,93;41,57;55,43;40,00;37,00;40,00;27,00;19,00;18,00;10,00;4,00
2020-01-26;83,00;913,00;13,83;41,50;41,50;27,00;32,00;39,00;17,00;15,00;15,00;3,00;4,00
2020-02-02;83,00;857,67;13,83;27,67;41,50;46,00;28,00;29,00;26,00;16,00;9,00;9,00;4,00
2020-02-09;80,00;933,33;13,33;40,00;53,33;38,00;26,00;45,00;32,00;20,00;7,00;12,00;7,00
2020-02-16;82,00;902,00;6,83;41,00;54,67;55,00;44,00;38,00;16,00;13,00;22,00;10,00;7,00
2020-02-23;84,00;1092,00;14,00;56,00;56,00;57,00;47,00;27,00;19,00;20,00;14,00;21,00;6,00
2020-03-01;64,00;921,60;12,80;51,20;51,20;39,00;28,00;25,00;28,00;24,00;17,00;4,00;1,00
2020-03-08;71,00;1065,00;14,20;28,40;28,40;42,00;27,00;31,00;15,00;17,00;6,00;10,00;7,00
2020-03-15;44,00;748,00;14,67;44,00;29,33;33,00;36,00;21,00;12,00;17,00;8,00;6,00;6,00
2020-03-22;49,00;514,50;6,13;36,75;24,50;13,00;14,00;15,00;14,00;8,00;8,00;4,00;4,00
2020-03-29;39,00;429,00;13,00;26,00;26,00;23,00;14,00;18,00;10,00;12,00;7,00;3,00;1,00
2020-04-05;44,00;528,00;7,33;29,33;44,00;33,00;27,00;15,00;11,00;12,00;5,00;0,00;3,00
2020-04-12;40,00;466,67;13,33;26,67;26,67;19,00;23,00;15,00;10,00;13,00;5,00;9,00;5,00
2020-04-19;32,00;464,00;16,00;32,00;32,00;29,00;19,00;14,00;13,00;15,00;8,00;4,00;3,00
2020-04-26;31,00;387,50;15,50;31,00;31,00;19,00;17,00;8,00;8,00;13,00;6,00;1,00;4,00
2020-05-03;22,00;297,00;11,00;22,00;22,00;19,00;22,00;25,00;12,00;10,00;5,00;4,00;1,00
2020-05-10;29,00;391,50;14,50;14,50;29,00;26,00;16,00;19,00;19,00;13,00;5,00;9,00;4,00
2020-05-17;45,00;480,00;15,00;30,00;30,00;40,00;16,00;15,00;11,00;7,00;4,00;4,00;4,00
2020-05-24;36,00;312,00;12,00;24,00;24,00;26,00;5,00;16,00;14,00;4,00;10,00;3,00;4,00
2020-05-31;45,00;375,00;7,50;30,00;15,00;21,00;17,00;18,00;11,00;7,00;8,00;12,00;4,00
2020-06-07;46,00;536,67;15,33;15,33;30,67;28,00;20,00;23,00;18,00;15,00;9,00;3,00;1,00
2020-06-14;64,00;448,00;12,80;25,60;25,60;22,00;24,00;22,00;13,00;10,00;11,00;6,00;4,00
2020-06-21;45,00;435,00;7,50;30,00;30,00;30,00;28,00;18,00;20,00;13,00;6,00;1,00;4,00
2020-06-28;44,00;410,67;7,33;29,33;29,33;22,00;10,00;16,00;13,00;12,00;7,00;4,00;9,00
2020-07-05;45,00;450,00;15,00;30,00;30,00;29,00;18,00;12,00;15,00;9,00;13,00;1,00;4,00
2020-07-12;51,00;357,00;12,75;12,75;38,25;38,00;19,00;20,00;22,00;22,00;32,00;3,00;3,00
2020-07-19;67,00;455,60;13,40;40,20;40,20;28,00;28,00;22,00;16,00;23,00;38,00;3,00;4,00
2020-07-26;55,00;440,00;13,75;55,00;41,25;35,00;24,00;16,00;16,00;18,00;16,00;4,00;3,00
2020-08-02;63,00;415,80;12,60;25,20;25,20;32,00;17,00;14,00;17,00;13,00;13,00;12,00;9,00
2020-08-09;54,00;459,00;13,50;27,00;27,00;24,00;30,00;25,00;22,00;15,00;10,00;10,00;6,00
2020-08-16;46,00;460,00;15,33;30,67;30,67;27,00;23,00;26,00;7,00;14,00;10,00;0,00;1,00
2020-08-23;43,00;430,00;14,33;28,67;43,00;21,00;22,00;12,00;17,00;14,00;4,00;4,00;4,00
2020-08-30;55,00;440,00;6,88;13,75;13,75;19,00;11,00;10,00;25,00;14,00;6,00;1,00;4,00
2020-09-06;46,00;460,00;7,67;30,67;30,67;23,00;14,00;18,00;15,00;14,00;15,00;1,00;4,00
2020-09-13;55,00;385,00;13,75;27,50;41,25;34,00;22,00;16,00;12,00;22,00;8,00;3,00;0,00
2020-09-20;44,00;410,67;14,67;58,67;29,33;19,00;21,00;12,00;10,00;12,00;8,00;3,00;4,00
2020-09-27;49,00;367,50;12,25;24,50;24,50;26,00;26,00;12,00;13,00;18,00;10,00;0,00;1,00
2020-10-04;54,00;486,00;27,00;27,00;27,00;22,00;33,00;27,00;6,00;7,00;0,00;6,00;1,00
2020-10-11;37,00;444,00;12,33;24,67;24,67;29,00;19,00;23,00;16,00;6,00;14,00;3,00;8,00
2020-10-18;56,00;476,00;14,00;28,00;42,00;23,00;15,00;21,00;20,00;22,00;12,00;7,00;3,00
2020-10-25;66,00;382,80;13,20;26,40;26,40;26,00;16,00;11,00;11,00;11,00;7,00;13,00;2,00
2020-11-01;44,00;308,00;14,67;29,33;14,67;27,00;22,00;15,00;15,00;3,00;5,00;4,00;3,00
2020-11-08;56,00;364,00;7,00;28,00;28,00;23,00;12,00;16,00;16,00;12,00;11,00;5,00;5,00
2020-11-15;61,00;402,60;12,20;24,40;24,40;26,00;21,00;18,00;13,00;13,00;16,00;6,00;3,00
2020-11-22;53,00;397,50;6,63;26,50;39,75;31,00;13,00;15,00;17,00;7,00;5,00;7,00;2,00
2020-11-29;54,00;337,50;13,50;27,00;27,00;17,00;19,00;20,00;16,00;5,00;6,00;2,00;5,00
2020-12-06;53,00;331,25;6,63;39,75;39,75;19,00;27,00;16,00;13,00;14,00;8,00;2,00;3,00
2020-12-13;47,00;364,25;11,75;11,75;23,50;24,00;16,00;24,00;15,00;10,00;13,00;8,00;2,00
2020-12-20;57,00;427,50;14,25;42,75;28,50;38,00;26,00;19,00;14,00;10,00;12,00;9,00;5,00
2020-12-27;57,00;427,50;14,25;28,50;28,50;18,00;25,00;25,00;18,00;16,00;8,00;3,00;3,00
2021-01-03;37,00;419,33;6,17;24,67;12,33;18,00;22,00;11,00;14,00;6,00;8,00;6,00;3,00
2021-01-10;54,00;405,00;13,50;27,00;40,50;34,00;20,00;8,00;17,00;12,00;6,00;6,00;2,00
2021-01-17;50,00;375,00;12,50;12,50;25,00;19,00;8,00;23,00;20,00;9,00;3,00;6,00;8,00
2021-01-24;48,00;372,00;12,00;24,00;24,00;26,00;14,00;23,00;25,00;16,00;11,00;2,00;11,00
2021-01-31;26,00;351,00;0,00;26,00;26,00;20,00;11,00;16,00;11,00;11,00;9,00;5,00;0,00
2021-02-07;69,00;386,40;6,90;27,60;27,60;23,00;22,00;17,00;13,00;8,00;8,00;2,00;0,00
