Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;16,00;42,67;42,67;29,33;240,00;37,00;48,00;19,00;8,00
2019-04-28;14,00;44,33;25,67;23,33;205,33;29,00;45,00;19,00;8,00
2019-05-05;16,00;42,67;26,67;32,00;213,33;32,00;28,00;19,00;9,00
2019-05-12;15,00;42,50;27,50;25,00;202,50;29,00;34,00;20,00;9,00
2019-05-19;18,00;46,29;30,86;30,86;208,29;35,00;36,00;24,00;10,00
2019-05-26;14,00;49,00;28,00;23,33;205,33;26,00;43,00;18,00;10,00
2019-06-02;17,00;43,71;34,00;26,71;213,71;31,00;50,00;24,00;10,00
2019-06-09;19,00;35,29;43,43;27,14;244,29;34,00;33,00;23,00;9,00
2019-06-16;16,00;42,67;42,67;34,67;253,33;31,00;31,00;26,00;10,00
2019-06-23;16,00;45,33;32,00;26,67;256,00;35,00;33,00;27,00;10,00
2019-06-30;17,00;51,00;26,71;24,29;230,71;27,00;40,00;26,00;9,00
2019-07-07;16,00;61,33;42,67;34,67;242,67;32,00;39,00;24,00;9,00
2019-07-14;19,00;57,00;40,71;32,57;249,71;33,00;54,00;24,00;9,00
2019-07-21;17,00;51,00;43,71;31,57;235,57;43,00;44,00;29,00;9,00
2019-07-28;17,00;65,57;41,29;36,43;235,57;39,00;57,00;27,00;9,00
2019-08-04;18,00;51,43;25,71;41,14;254,57;38,00;48,00;26,00;8,00
2019-08-11;17,00;60,71;31,57;34,00;242,86;38,00;48,00;23,00;8,00
2019-08-18;15,00;57,50;35,00;40,00;232,50;37,00;35,00;24,00;8,00
2019-08-25;14,00;50,40;42,00;39,20;252,00;37,00;29,00;23,00;8,00
2019-09-01;17,00;38,86;34,00;26,71;211,29;40,00;38,00;23,00;9,00
2019-09-08;17,00;43,71;38,86;31,57;216,14;36,00;39,00;29,00;9,00
2019-09-15;15,00;42,50;47,50;32,50;217,50;34,00;38,00;27,00;10,00
2019-09-22;17,00;51,00;46,14;31,57;206,43;42,00;38,00;26,00;9,00
2019-09-29;19,00;57,00;38,00;28,50;201,88;39,00;39,00;28,00;8,00
2019-10-06;18,00;46,29;38,57;33,43;213,43;41,00;41,00;25,00;8,00
2019-10-13;18,00;41,14;33,43;28,29;223,71;41,00;46,00;23,00;8,00
2019-10-20;17,00;58,29;46,14;24,29;228,29;41,00;38,00;25,00;7,00
2019-10-27;15,00;67,50;35,00;27,50;227,50;64,00;36,00;22,00;8,00
2019-11-03;14,00;63,00;32,67;30,33;203,00;41,00;30,00;23,00;8,00
2019-11-10;14,00;58,80;39,20;33,60;226,80;37,00;34,00;21,00;9,00
2019-11-17;14,00;53,67;28,00;25,67;179,67;42,00;30,00;21,00;8,00
2019-11-24;14,00;50,40;36,40;28,00;210,00;37,00;35,00;20,00;8,00
2019-12-01;15,00;45,00;30,00;32,50;192,50;41,00;34,00;21,00;9,00
2019-12-08;14,00;44,80;22,40;28,00;210,00;34,00;34,00;20,00;8,00
2019-12-15;13,00;44,20;41,60;26,00;208,00;35,00;33,00;23,00;9,00
2019-12-22;20,00;50,00;40,00;25,00;222,50;48,00;48,00;24,00;10,00
2019-12-29;18,00;59,14;41,14;28,29;231,43;51,00;38,00;27,00;11,00
2020-01-05;16,00;45,71;27,43;29,71;178,29;46,00;39,00;27,00;11,00
2020-01-12;17,00;38,86;38,86;34,00;194,29;41,00;34,00;27,00;11,00
2020-01-19;16,00;56,00;26,67;32,00;213,33;41,00;40,00;28,00;11,00
2020-01-26;12,00;40,80;28,80;28,80;180,00;33,00;36,00;22,00;10,00
2020-02-02;14,00;51,33;30,33;28,00;186,67;30,00;40,00;22,00;9,00
2020-02-09;14,00;42,00;36,40;30,80;235,20;35,00;46,00;26,00;10,00
2020-02-16;17,00;53,43;29,14;34,00;204,00;31,00;37,00;27,00;9,00
2020-02-23;13,00;39,00;28,60;26,00;213,20;28,00;40,00;27,00;11,00
2020-03-01;14,00;47,60;30,80;25,20;193,20;25,00;32,00;23,00;11,00
2020-03-08;11,00;55,00;19,25;22,00;187,00;18,00;29,00;19,00;11,00
