Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;51,00;71,00;15,00;11,00;4,00;14,38;120,31;6,54;23,54
2019-01-13;48,00;65,00;12,00;11,00;6,00;14,67;122,67;6,67;21,33
2019-01-20;40,00;64,00;11,00;11,00;5,00;14,67;89,33;8,00;20,00
2019-01-27;46,00;76,00;16,00;12,00;4,00;10,51;110,40;6,57;21,03
2019-02-03;42,00;59,00;19,00;10,00;4,00;14,44;102,38;6,56;21,00
2019-02-10;39,00;72,00;16,00;11,00;3,00;14,30;89,70;5,20;22,10
2019-02-17;42,00;57,00;22,00;13,00;6,00;11,81;90,56;6,56;22,31
2019-02-24;44,00;81,00;14,00;12,00;5,00;16,82;80,24;5,18;23,29
2019-03-03;41,00;81,00;13,00;12,00;5,00;9,26;97,87;6,61;23,81
2019-03-10;37,00;52,00;13,00;12,00;4,00;11,89;100,43;6,61;23,79
2019-03-17;45,00;77,00;18,00;12,00;5,00;14,56;87,35;6,62;22,50
2019-03-24;42,00;72,00;16,00;13,00;4,00;14,44;80,06;5,25;22,31
2019-03-31;45,00;70,00;23,00;15,00;6,00;14,14;92,57;6,43;21,86
2019-04-07;46,00;69,00;6,00;12,00;4,00;13,14;99,89;7,89;19,71
2019-04-14;43,00;72,00;14,00;11,00;6,00;12,09;77,94;6,72;20,16
2019-04-21;43,00;56,00;21,00;13,00;4,00;11,73;91,21;6,52;19,55
2019-04-28;46,00;61,00;16,00;10,00;4,00;15,77;90,69;6,57;21,03
2019-05-05;42,00;61,00;16,00;12,00;4,00;13,13;90,56;7,88;22,31
2019-05-12;41,00;52,00;12,00;13,00;4,00;13,23;89,94;7,94;22,48
2019-05-19;40,00;62,00;9,00;10,00;6,00;12,00;92,00;8,00;22,67
2019-05-26;42,00;60,00;21,00;12,00;4,00;13,13;93,19;6,56;23,63
2019-06-02;41,00;66,00;17,00;14,00;8,00;14,55;92,58;6,61;23,81
2019-06-09;50,00;81,00;15,00;15,00;7,00;17,11;97,37;9,21;25,00
2019-06-16;52,00;64,00;11,00;16,00;5,00;13,33;97,33;8,00;24,00
2019-06-23;46,00;84,00;19,00;13,00;5,00;14,46;94,63;6,57;24,97
2019-06-30;56,00;93,00;13,00;17,00;6,00;18,23;98,98;7,81;22,14
2019-07-07;53,00;85,00;25,00;14,00;6,00;15,51;125,39;6,46;23,27
2019-07-14;52,00;85,00;18,00;15,00;7,00;18,67;133,33;8,00;24,00
2019-07-21;51,00;74,00;23,00;18,00;7,00;17,00;111,15;10,46;23,54
2019-07-28;61,00;85,00;18,00;17,00;8,00;18,57;110,07;7,96;21,22
2019-08-04;55,00;84,00;14,00;12,00;7,00;18,33;100,83;6,55;19,64
2019-08-11;48,00;73,00;16,00;13,00;9,00;16,00;101,33;8,00;20,00
2019-08-18;38,00;61,00;20,00;12,00;7,00;15,72;112,69;9,17;19,66
2019-08-25;42,00;59,00;17,00;11,00;5,00;13,13;102,38;6,56;18,38
2019-09-01;41,00;55,00;17,00;12,00;6,00;14,55;99,19;7,94;19,84
2019-09-08;41,00;55,00;17,00;11,00;5,00;14,55;96,55;10,58;19,84
2019-09-15;43,00;70,00;15,00;12,00;6,00;15,64;89,91;10,42;19,55
2019-09-22;38,00;74,00;11,00;11,00;5,00;11,79;86,48;9,17;20,97
2019-09-29;41,00;59,00;30,00;11,00;5,00;15,87;80,68;9,26;19,84
2019-10-06;43,00;56,00;11,00;11,00;5,00;13,03;92,52;11,73;20,85
2019-10-13;41,00;56,00;10,00;11,00;5,00;13,23;89,94;15,87;22,48
2019-10-20;40,00;60,00;10,00;9,00;7,00;13,33;85,33;29,33;32,00
2019-10-27;38,00;48,00;13,00;11,00;3,00;13,10;86,48;17,03;22,28
