Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;2,00;17,00;12,00;10,00;3,00;4,00;58,00;6,00;6,00
2019-01-13;3,00;17,00;9,00;10,00;6,00;3,00;90,00;9,00;6,00
2019-01-20;3,00;24,00;13,00;8,00;7,00;6,00;69,00;6,00;9,00
2019-01-27;15,00;23,00;11,00;12,00;8,00;7,50;50,00;7,50;7,50
2019-02-03;24,00;20,00;14,00;11,00;12,00;7,20;48,00;7,20;4,80
2019-02-10;19,00;23,00;17,00;12,00;9,00;9,50;45,13;4,75;7,13
2019-02-17;24,00;25,00;16,00;12,00;11,00;9,60;45,60;7,20;7,20
2019-02-24;22,00;24,00;15,00;10,00;10,00;9,78;44,00;7,33;4,89
2019-03-03;23,00;12,00;16,00;12,00;10,00;9,20;50,60;6,90;6,90
2019-03-10;26,00;12,00;21,00;14,00;13,00;11,82;49,64;7,09;7,09
2019-03-17;23,00;19,00;20,00;11,00;16,00;11,50;43,70;6,90;9,20
2019-03-24;26,00;27,00;16,00;15,00;14,00;14,18;56,73;7,09;9,45
2019-03-31;5,00;22,00;19,00;9,00;14,00;7,50;75,00;7,50;10,00
2019-04-07;5,00;21,00;16,00;9,00;12,00;7,50;75,00;10,00;10,00
2019-04-14;5,00;28,00;18,00;15,00;21,00;7,50;92,50;10,00;12,50
2019-04-21;4,00;24,00;17,00;11,00;10,00;8,00;84,00;8,00;10,00
2019-04-28;4,00;33,00;17,00;11,00;15,00;16,00;144,00;16,00;20,00
2019-05-05;3,00;18,00;14,00;10,00;12,00;9,00;102,00;12,00;15,00
2019-05-12;5,00;22,00;13,00;12,00;11,00;7,50;97,50;12,50;15,00
2019-05-19;6,00;24,00;16,00;12,00;17,00;9,00;114,00;15,00;21,00
2019-05-26;8,00;30,00;27,00;14,00;17,00;8,00;133,33;18,67;18,67
2019-06-02;8,00;31,00;30,00;20,00;15,00;16,00;125,33;13,33;18,67
2019-06-09;7,00;41,00;20,00;18,00;23,00;18,67;102,67;11,67;18,67
2019-06-16;7,00;40,00;21,00;17,00;27,00;21,00;119,00;14,00;18,67
2019-06-23;8,00;40,00;18,00;17,00;31,00;21,33;125,33;16,00;24,00
2019-06-30;9,00;47,00;29,00;15,00;34,00;15,75;126,00;13,50;20,25
2019-07-07;8,00;63,00;34,00;18,00;34,00;21,33;194,67;16,00;24,00
2019-07-14;13,00;67,00;36,00;19,00;38,00;20,80;215,80;20,80;23,40
2019-07-21;15,00;84,00;38,00;24,00;40,00;20,00;200,00;22,50;22,50
2019-07-28;15,00;69,00;45,00;19,00;43,00;25,00;205,00;20,00;20,00
2019-08-04;15,00;58,00;22,00;19,00;47,00;27,50;172,50;17,50;17,50
2019-08-11;10,00;41,00;31,00;19,00;43,00;27,50;127,50;17,50;15,00
2019-08-18;14,00;41,00;14,00;16,00;31,00;14,00;137,67;21,00;14,00
2019-08-25;5,00;24,00;16,00;14,00;21,00;15,00;97,50;15,00;15,00
2019-09-01;6,00;21,00;10,00;12,00;15,00;12,00;84,00;9,00;15,00
2019-09-08;5,00;18,00;15,00;12,00;9,00;10,00;52,50;7,50;12,50
2019-09-15;6,00;18,00;12,00;9,00;7,00;6,00;34,00;6,00;8,00
