Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;27,00;48,00;20,00;10,00;4,00;96,43;30,86;46,29;11,57
2019-01-13;31,00;58,00;22,00;11,00;7,00;112,38;42,63;46,50;11,63
2019-01-20;32,00;53,00;28,00;10,00;6,00;100,00;32,00;56,00;12,00
2019-01-27;34,00;45,00;26,00;11,00;7,00;83,11;26,44;45,33;11,33
2019-02-03;40,00;55,00;29,00;9,00;11,00;84,00;40,00;52,00;12,00
2019-02-10;41,00;45,00;24,00;9,00;8,00;102,50;41,00;45,10;12,30
2019-02-17;42,00;55,00;31,00;10,00;6,00;87,82;38,18;49,64;11,45
2019-02-24;53,00;46,00;25,00;11,00;6,00;110,08;32,62;53,00;8,15
2019-03-03;38,00;39,00;29,00;10,00;7,00;98,80;34,20;45,60;11,40
2019-03-10;40,00;37,00;34,00;10,00;10,00;112,00;32,00;44,00;12,00
2019-03-17;42,00;55,00;28,00;12,00;10,00;118,36;30,55;53,45;11,45
2019-03-24;45,00;35,00;40,00;11,00;9,00;130,91;40,91;53,18;12,27
2019-03-31;38,00;47,00;27,00;11,00;10,00;125,40;41,80;45,60;11,40
2019-04-07;42,00;45,00;26,00;9,00;5,00;141,27;42,00;64,91;11,45
2019-04-14;45,00;55,00;34,00;9,00;7,00;139,09;40,91;57,27;12,27
2019-04-21;40,00;48,00;25,00;9,00;11,00;168,00;48,00;60,00;12,00
2019-04-28;39,00;45,00;29,00;12,00;6,00;140,40;46,80;54,60;11,70
2019-05-05;36,00;53,00;24,00;9,00;7,00;124,00;36,00;60,00;12,00
2019-05-12;32,00;55,00;19,00;8,00;7,00;128,00;44,00;56,00;12,00
2019-05-19;38,00;52,00;35,00;10,00;9,00;117,80;38,00;57,00;11,40
2019-05-26;39,00;53,00;33,00;13,00;8,00;132,60;62,40;62,40;11,70
2019-06-02;46,00;50,00;36,00;12,00;9,00;172,50;38,33;61,33;11,50
2019-06-09;41,00;82,00;41,00;12,00;9,00;200,90;49,20;61,50;12,30
2019-06-16;45,00;80,00;36,00;10,00;8,00;212,73;40,91;65,45;16,36
2019-06-23;41,00;50,00;37,00;11,00;11,00;237,80;49,20;65,60;16,40
2019-06-30;48,00;87,00;42,00;13,00;8,00;236,00;60,00;72,00;16,00
2019-07-07;47,00;90,00;43,00;11,00;6,00;246,75;62,67;62,67;15,67
