Croisiere;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;52,00;16,00;50,00;76,00;4,00;99,78;2,81;5,62;4,22
2019-01-13;46,00;8,00;68,00;73,00;1,00;83,38;2,88;5,75;4,31
2019-01-20;44,00;16,00;54,00;64,00;2,00;89,42;2,84;4,26;2,84
2019-01-27;30,00;16,00;90,00;67,00;3,00;68,57;2,86;4,29;4,29
2019-02-03;29,00;8,00;45,00;54,00;3,00;79,75;1,45;4,35;2,90
2019-02-10;30,00;11,00;50,00;61,00;5,00;67,14;1,43;4,29;4,29
2019-02-17;36,00;10,00;40,00;50,00;1,00;62,31;2,77;8,31;4,15
2019-02-24;38,00;15,00;61,00;52,00;2,00;65,77;1,46;8,77;2,92
2019-03-03;34,00;5,00;44,00;52,00;2,00;63,75;2,83;5,67;11,33
2019-03-10;34,00;10,00;21,00;44,00;1,00;62,33;0,00;1,42;4,25
2019-03-17;36,00;18,00;43,00;51,00;2,00;67,68;2,88;7,20;4,32
2019-03-24;29,00;15,00;33,00;43,00;1,00;95,29;1,38;11,05;6,90
2019-03-31;38,00;10,00;32,00;37,00;2,00;66,15;2,81;5,63;4,22
2019-04-07;37,00;24,00;47,00;47,00;4,00;62,62;1,42;4,27;4,27
2019-04-14;45,00;12,00;61,00;40,00;4,00;62,42;4,35;4,35;2,90
2019-04-21;43,00;12,00;45,00;51,00;2,00;80,27;2,87;4,30;4,30
2019-04-28;42,00;14,00;59,00;51,00;2,00;79,66;2,90;5,79;2,90
2019-05-05;40,00;11,00;39,00;46,00;4,00;75,71;1,43;5,71;2,86
2019-05-12;34,00;13,00;36,00;51,00;3,00;69,42;4,25;7,08;4,25
2019-05-19;38,00;19,00;38,00;44,00;2,00;80,38;2,92;5,85;2,92
2019-05-26;35,00;13,00;32,00;45,00;2,00;67,20;2,80;5,60;2,80
2019-06-02;50,00;7,00;38,00;50,00;4,00;138,89;4,17;19,44;11,11
2019-06-09;38,00;17,00;46,00;50,00;4,00;78,81;2,81;5,63;2,81
2019-06-16;35,00;13,00;54,00;61,00;4,00;100,80;4,20;4,20;4,20
2019-06-23;35,00;12,00;41,00;47,00;6,00;92,40;0,00;5,60;4,20
2019-06-30;43,00;14,00;38,00;48,00;2,00;110,37;4,30;5,73;2,87
2019-07-07;52,00;18,00;60,00;73,00;4,00;122,27;4,22;8,43;4,22
2019-07-14;50,00;14,00;45,00;60,00;3,00;97,14;5,71;5,71;2,86
2019-07-21;48,00;11,00;72,00;50,00;3,00;115,76;1,41;8,47;5,65
2019-07-28;52,00;30,00;45,00;56,00;3,00;119,46;7,03;5,62;4,22
2019-08-04;52,00;12,00;47,00;73,00;5,00;133,51;5,62;7,03;2,81
2019-08-11;56,00;14,00;53,00;75,00;4,00;124,92;1,44;7,18;2,87
2019-08-18;53,00;16,00;46,00;66,00;4,00;110,30;10,03;7,16;4,30
2019-08-25;52,00;10,00;40,00;64,00;3,00;102,59;5,62;7,03;4,22
2019-09-01;41,00;14,00;40,00;64,00;6,00;91,90;2,83;5,66;4,24
2019-09-08;40,00;16,00;59,00;59,00;2,00;88,57;1,43;5,71;4,29
2019-09-15;35,00;11,00;44,00;57,00;2,00;72,80;5,60;9,80;4,20
2019-09-22;35,00;12,00;57,00;55,00;3,00;78,40;2,80;7,00;4,20
2019-09-29;39,00;12,00;43,00;52,00;3,00;58,50;2,79;6,96;2,79
2019-10-06;31,00;20,00;44,00;54,00;2,00;64,82;5,64;5,64;4,23
2019-10-13;34,00;23,00;36,00;52,00;2,00;66,58;4,25;5,67;4,25
2019-10-20;36,00;14,00;36,00;48,00;6,00;58,15;4,15;5,54;2,77
2019-10-27;35,00;16,00;20,00;54,00;5,00;58,80;4,20;4,20;2,80
2019-11-03;31,00;18,00;44,00;52,00;3,00;57,77;2,82;4,23;2,82
2019-11-10;35,00;12,00;40,00;44,00;3,00;51,80;2,80;4,20;2,80
2019-11-17;31,00;11,00;25,00;55,00;3,00;46,50;0,00;5,64;4,23
2019-11-24;26,00;4,00;35,00;38,00;2,00;47,67;1,44;4,33;2,89
2019-12-01;25,00;11,00;29,00;40,00;3,00;41,18;1,47;4,41;4,41
2019-12-08;25,00;9,00;12,00;38,00;2,00;40,28;4,17;4,17;4,17
2019-12-15;26,00;10,00;33,00;45,00;1,00;39,68;2,74;6,84;10,95
2019-12-22;31,00;16,00;37,00;75,00;4,00;67,64;2,82;7,05;9,86
2019-12-29;46,00;13,00;76,00;93,00;2,00;80,50;2,88;5,75;5,75
2020-01-05;68,00;10,00;63,00;85,00;1,00;76,50;2,83;7,08;5,67
2020-01-12;41,00;15,00;68,00;69,00;2,00;76,34;2,83;5,66;5,66
2020-01-19;48,00;21,00;58,00;75,00;3,00;79,06;2,82;7,06;5,65
2020-01-26;45,00;13,00;48,00;65,00;1,00;85,78;1,41;11,25;8,44
2020-02-02;42,00;16,00;43,00;60,00;2,00;60,83;5,79;8,69;10,14
2020-02-09;38,00;6,00;51,00;63,00;1,00;49,26;2,81;9,85;11,26
2020-02-16;40,00;18,00;43,00;51,00;0,50;52,86;4,29;10,00;8,57
2020-02-23;38,00;11,00;26,00;50,00;3,00;46,44;1,41;8,44;5,63
2020-03-01;33,00;7,00;34,00;52,00;1,00;41,61;2,87;8,61;10,04
2020-03-08;37,00;12,00;42,00;100,00;4,00;21,35;4,27;11,38;17,08
2020-03-15;14,00;5,00;32,00;42,00;1,00;19,60;1,40;9,80;7,00
2020-03-22;15,00;3,00;15,00;27,00;1,00;17,73;2,73;5,45;6,82
2020-03-29;16,00;9,00;13,00;29,00;1,00;14,55;2,91;4,36;13,09
2020-04-05;13,00;7,00;15,00;28,00;0,50;15,89;1,44;4,33;4,33
2020-04-12;11,00;7,00;8,00;27,00;0,50;17,88;4,13;4,13;4,13
2020-04-19;12,00;4,00;14,00;25,00;0,50;14,67;0,67;2,67;2,67
2020-04-26;9,00;5,00;15,00;32,00;1,00;15,00;0,75;3,00;3,00
2020-05-03;11,00;3,00;22,00;23,00;1,00;12,57;1,57;3,14;3,14
2020-05-10;12,00;3,00;9,00;26,00;2,00;16,00;1,33;2,67;4,00
2020-05-17;12,00;4,00;19,00;35,00;1,00;14,67;1,33;4,00;2,67
2020-05-24;14,00;8,00;16,00;31,00;1,00;14,00;1,40;2,80;2,80
2020-05-31;18,00;7,00;26,00;36,00;2,00;22,15;2,77;2,77;2,77
2020-06-07;18,00;10,00;25,00;39,00;1,00;22,15;1,38;4,15;2,77
2020-06-14;38,00;10,00;16,00;31,00;1,00;23,93;1,41;4,22;2,81
2020-06-21;38,00;3,00;21,00;31,00;0,50;26,74;2,81;2,81;2,81
2020-06-28;20,00;9,00;32,00;39,00;0,00;30,00;0,71;5,71;2,86
2020-07-05;28,00;10,00;25,00;37,00;0,50;29,40;4,20;4,20;2,80
2020-07-12;28,00;7,00;16,00;23,00;1,00;26,60;2,80;2,80;1,40
2020-07-19;31,00;5,00;24,00;27,00;1,00;28,18;5,64;4,23;2,82
2020-07-26;32,00;9,00;26,00;30,00;1,00;36,36;2,91;2,91;2,91
2020-08-02;36,00;3,00;24,00;34,00;1,00;44,64;2,88;7,20;4,32
2020-08-09;36,00;1,00;26,00;23,00;0,50;43,20;1,44;4,32;2,88
2020-08-16;28,00;7,00;24,00;19,00;0,00;46,20;2,80;5,60;2,80
2020-08-23;28,00;10,00;13,00;25,00;0,00;23,80;0,70;2,80;2,80
2020-08-30;16,00;3,00;17,00;18,00;0,50;26,18;1,45;2,91;2,91
2020-09-06;21,00;9,00;17,00;17,00;0,50;26,60;1,40;4,20;2,80
2020-09-13;14,00;7,00;5,00;19,00;1,00;22,40;0,00;4,20;2,80
2020-09-20;10,00;6,00;13,00;17,00;1,00;17,14;0,71;2,86;2,86
2020-09-27;14,00;4,00;12,00;16,00;0,50;21,00;1,40;4,20;2,80
2020-10-04;11,00;3,00;16,00;19,00;1,00;17,88;1,38;4,13;2,75
2020-10-11;13,00;7,00;11,00;14,00;0,00;17,33;2,89;5,78;2,89
2020-10-18;12,00;4,00;18,00;19,00;1,00;12,00;2,67;6,67;2,67
2020-10-25;12,00;0,00;3,00;14,00;1,00;9,33;1,33;2,67;4,00
2020-11-01;7,00;5,00;5,00;17,00;1,00;12,60;1,40;4,20;2,80
2020-11-08;8,00;4,00;3,00;15,00;2,00;14,67;0,00;2,67;2,67
2020-11-15;8,00;6,00;12,00;14,00;0,00;17,33;1,33;4,00;4,00
2020-11-22;8,00;3,00;5,00;13,00;0,50;14,67;0,00;4,00;2,67
2020-11-29;14,00;4,00;14,00;12,00;1,00;18,20;5,60;2,80;2,80
2020-12-06;8,00;1,00;7,00;12,00;0,50;12,00;1,33;2,67;2,67
2020-12-13;9,00;1,00;5,00;13,00;1,00;12,00;1,50;3,00;4,50
2020-12-20;11,00;6,00;14,00;22,00;0,50;15,13;2,75;4,13;2,75
2020-12-27;10,00;2,00;14,00;23,00;0,50;20,00;1,43;4,29;4,29
2021-01-03;16,00;3,00;19,00;19,00;0,00;21,82;2,91;4,36;2,91
2021-01-10;12,00;3,00;9,00;17,00;1,00;24,00;0,75;4,50;3,00
2021-01-17;13,00;4,00;18,00;19,00;1,00;15,89;0,00;4,33;4,33
2021-01-24;10,00;6,00;21,00;21,00;0,00;21,43;0,71;5,71;2,86
2021-01-31;13,00;4,00;5,00;16,00;1,00;20,22;0,72;2,89;2,89
2021-02-07;12,00;4,00;14,00;17,00;1,00;21,00;4,50;4,50;3,00
2021-02-14;17,00;6,00;18,00;20,00;1,00;18,42;0,00;2,83;2,83
2021-02-21;13,00;6,00;12,00;17,00;1,00;21,67;1,44;2,89;2,89
2021-02-28;8,00;6,00;26,00;20,00;0,50;30,40;1,60;3,20;4,80
2021-03-07;12,00;8,00;17,00;18,00;0,50;21,33;1,33;4,00;2,67
2021-03-14;10,00;3,00;13,00;16,00;0,50;18,57;0,71;2,86;2,86
2021-03-21;11,00;6,00;19,00;12,00;1,00;22,00;1,38;1,38;4,13
2021-03-28;10,00;3,00;8,00;16,00;1,00;30,00;0,00;0,71;2,86
2021-04-04;11,00;10,00;22,00;21,00;0,00;28,88;4,13;1,38;4,13
2021-04-11;8,00;4,00;19,00;18,00;0,00;35,20;1,60;3,20;4,80
2021-04-18;13,00;7,00;14,00;21,00;0,50;40,44;0,00;1,44;2,89
2021-04-25;13,00;7,00;24,00;21,00;0,50;36,11;1,44;2,89;2,89
2021-05-02;18,00;6,00;15,00;25,00;1,00;48,46;0,00;2,77;4,15
2021-05-09;19,00;10,00;18,00;27,00;0,50;52,62;2,92;2,92;4,38
2021-05-16;19,00;7,00;20,00;30,00;1,00;54,29;0,68;5,43;4,07
2021-05-23;23,00;19,00;34,00;33,00;1,00;56,06;1,44;1,44;4,31
2021-05-30;22,00;6,00;27,00;34,00;0,50;73,33;1,47;2,93;4,40
2021-06-06;27,00;4,00;35,00;27,00;1,00;72,47;1,42;4,26;5,68
2021-06-13;20,00;6,00;18,00;29,00;2,00;57,14;2,86;1,43;5,71
2021-06-20;20,00;16,00;11,00;32,00;1,00;72,86;1,43;4,29;4,29
2021-06-27;37,00;6,00;18,00;32,00;1,00;68,31;4,27;4,27;4,27
2021-07-04;27,00;5,00;24,00;32,00;2,00;82,42;5,68;4,26;4,26
2021-07-11;33,00;16,00;36,00;35,00;0,50;61,88;1,38;5,50;2,75
2021-07-18;39,00;11,00;33,00;33,00;1,00;62,68;1,39;2,79;4,18
2021-07-25;36,00;20,00;36,00;41,00;2,00;72,00;2,88;5,76;4,32
2021-08-01;40,00;11,00;44,00;47,00;1,00;74,29;2,86;4,29;4,29
2021-08-08;39,00;8,00;31,00;44,00;2,00;78,00;0,00;4,18;5,57
2021-08-15;37,00;10,00;23,00;42,00;3,00;88,23;4,27;4,27;4,27
2021-08-22;35,00;8,00;26,00;42,00;3,00;63,00;2,80;2,80;4,20
2021-08-29;31,00;12,00;27,00;39,00;3,00;66,23;1,41;1,41;2,82
2021-09-05;29,00;7,00;27,00;47,00;2,00;53,86;2,76;1,38;4,14
2021-09-12;25,00;3,00;4,00;37,00;1,00;37,50;1,39;2,78;4,17
2021-09-19;24,00;10,00;29,00;46,00;3,00;45,18;2,82;4,24;4,24
2021-09-26;30,00;22,00;42,00;39,00;1,00;41,43;0,00;4,29;4,29
2021-10-03;25,00;21,00;25,00;38,00;3,00;38,89;1,39;4,17;4,17
2021-10-10;29,00;15,00;18,00;47,00;1,00;36,25;4,35;4,35;4,35
2021-10-17;25,00;11,00;33,00;45,00;3,00;38,89;1,39;5,56;4,17
2021-10-24;27,00;12,00;31,00;41,00;4,00;36,95;2,84;2,84;4,26
2021-10-31;26,00;9,00;11,00;38,00;2,00;33,22;7,22;2,89;4,33
2021-11-07;24,00;10,00;15,00;39,00;3,00;29,65;0,00;1,41;4,24
