Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;28,00;37,00;58,00;43,00;51,00;45,23;36,62;57,08;23,69
2019-01-13;28,00;40,00;60,00;44,00;55,00;47,38;34,46;56,00;23,69
2019-01-20;30,00;39,00;63,00;40,00;53,00;47,78;34,44;54,44;23,33
2019-01-27;30,00;38,00;61,00;40,00;58,00;48,89;35,56;48,89;23,33
2019-02-03;33,00;39,00;62,00;40,00;61,00;45,10;36,30;52,80;24,20
2019-02-10;32,00;38,00;60,00;38,00;61,00;49,66;35,31;50,76;25,38
2019-02-17;33,00;34,00;58,00;36,00;63,00;50,60;36,30;48,40;26,40
2019-02-24;33,00;38,00;58,00;37,00;66,00;51,70;34,10;48,40;25,30
2019-03-03;33,00;37,00;57,00;38,00;59,00;50,60;30,80;48,40;27,50
2019-03-10;30,00;35,00;57,00;38,00;62,00;51,11;32,22;46,67;30,00
2019-03-17;33,00;37,00;58,00;37,00;64,00;52,80;29,70;47,30;26,40
2019-03-24;32,00;31,00;58,00;36,00;65,00;52,97;33,10;47,45;27,59
2019-03-31;34,00;34,00;55,00;36,00;58,00;52,65;31,81;44,97;27,42
2019-04-07;33,00;38,00;60,00;38,00;63,00;53,90;34,10;53,90;26,40
2019-04-14;33,00;36,00;62,00;36,00;63,00;52,80;30,80;47,30;24,20
2019-04-21;30,00;31,00;58,00;35,00;58,00;61,11;30,00;46,67;25,56
2019-04-28;32,00;34,00;58,00;36,00;57,00;54,07;37,52;50,76;25,38
2019-05-05;29,00;31,00;52,00;36,00;64,00;55,77;32,35;51,31;25,65
2019-05-12;30,00;36,00;55,00;37,00;62,00;52,22;33,33;52,22;26,67
2019-05-19;30,00;33,00;55,00;37,00;65,00;53,33;33,33;56,67;31,11
2019-05-26;31,00;34,00;59,00;38,00;67,00;54,25;33,21;55,36;33,21
2019-06-02;31,00;34,00;54,00;40,00;73,00;69,75;32,11;53,14;29,89
2019-06-09;32,00;35,00;59,00;42,00;75,00;77,24;33,10;55,17;30,90
2019-06-16;33,00;40,00;60,00;42,00;80,00;79,20;34,10;56,10;33,00
2019-06-23;32,00;38,00;60,00;41,00;83,00;84,97;32,00;56,28;33,10
