Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;26,00;20,80;0,00;14,56;37,44;13,00;31,00;31,00;1,00
2019-01-13;37,00;27,00;24,00;18,00;49,00;8,00;31,00;23,00;1,00
2019-01-20;56,00;33,00;23,00;20,00;60,00;22,00;20,00;28,00;1,00
2019-01-27;40,00;7,18;23,59;24,62;46,15;16,00;37,00;17,00;1,00
2019-02-03;45,00;35,80;24,55;17,39;49,09;12,00;48,00;21,00;1,00
2019-02-10;57,00;7,13;8,14;15,27;68,20;15,00;17,00;31,00;1,00
2019-02-17;45,00;7,16;16,36;16,36;47,05;14,00;40,00;18,00;1,00
2019-02-24;51,00;48,96;24,48;21,42;74,46;13,00;10,00;22,00;1,00
2019-03-03;40,00;7,00;0,00;15,00;59,00;16,00;7,00;17,00;1,00
2019-03-10;55,00;41,76;24,44;17,31;45,83;20,00;17,00;18,00;1,00
2019-03-17;37,00;35,00;16,00;14,00;58,00;16,00;14,00;24,00;1,00
2019-03-24;63,00;14,23;8,13;12,19;53,85;11,00;17,00;24,00;2,00
2019-03-31;44,00;21,49;24,56;17,40;47,07;17,00;25,00;15,00;1,00
2019-04-07;47,00;44,96;23,50;14,30;74,59;9,00;31,00;17,00;1,00
2019-04-14;42,00;46,10;36,88;19,46;58,39;8,00;14,00;18,00;2,00
2019-04-21;45,00;73,64;0,00;9,20;52,16;13,00;22,00;23,00;1,00
2019-04-28;55,00;20,37;0,00;15,28;46,85;16,00;14,00;21,00;1,00
2019-05-05;55,00;26,48;16,30;14,26;69,26;12,00;7,00;19,00;1,00
2019-05-12;35,00;7,21;24,71;14,41;58,68;16,00;17,00;19,00;1,00
2019-05-19;41,00;41,00;41,00;17,43;58,43;15,00;24,00;26,00;2,00
2019-05-26;44,00;20,47;34,79;12,28;76,74;13,00;30,00;24,00;6,00
2019-06-02;39,00;19,50;24,63;21,55;67,74;8,00;29,00;25,00;1,00
2019-06-09;43,00;26,62;24,57;26,62;70,64;15,00;40,00;24,00;2,00
2019-06-16;44,00;20,00;24,00;20,00;72,00;11,00;23,00;30,00;1,00
2019-06-23;46,00;44,98;53,16;16,36;76,67;19,00;14,00;20,00;1,00
2019-06-30;53,00;44,85;42,81;24,46;93,77;21,00;27,00;25,00;1,00
2019-07-07;44,00;21,00;34,00;17,00;90,00;15,00;20,00;21,00;1,00
2019-07-14;69,00;45,66;18,26;24,35;98,43;24,00;32,00;31,00;0,50
2019-07-21;58,00;47,82;29,51;12,21;101,75;11,00;34,00;21,00;2,00
2019-07-28;48,00;15,32;20,43;21,45;87,83;19,00;15,00;22,00;1,00
2019-08-04;70,00;37,54;9,13;25,36;89,28;18,00;30,00;29,00;1,00
