Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;67,00;74,66;105,29;32,54;51,69;28,00;52,00;42,00;19,00
2019-01-13;73,00;48,03;97,97;24,97;51,87;21,00;39,00;34,00;20,00
2019-01-20;74,00;58,42;91,53;23,37;54,53;22,00;34,00;30,00;17,00
2019-01-27;82,00;48,81;97,62;23,43;60,52;15,00;31,00;26,00;16,00
2019-02-03;84,00;42,00;106,91;24,82;63,00;17,00;30,00;29,00;14,00
2019-02-10;83,00;28,95;138,98;21,23;52,12;14,00;34,00;28,00;16,00
2019-02-17;86,00;27,36;103,59;19,55;50,82;18,00;29,00;25,00;16,00
2019-02-24;57,00;34,20;110,20;13,30;34,20;11,00;31,00;18,00;11,00
2019-03-03;50,00;28,85;51,92;13,46;28,85;16,00;21,00;19,00;11,00
2019-03-10;33,00;31,06;67,94;9,71;27,18;14,00;14,00;15,00;9,00
2019-03-17;31,00;19,38;50,38;9,69;19,38;6,00;11,00;11,00;7,00
2019-03-24;20,00;14,00;32,00;6,00;16,00;5,00;9,00;12,00;5,00
2019-03-31;18,00;22,00;46,00;4,00;16,00;6,00;10,00;10,00;4,00
2019-04-07;15,00;15,00;26,25;3,75;22,50;5,00;6,00;11,00;3,00
2019-04-14;17,00;13,22;22,67;1,89;15,11;6,00;2,00;6,00;2,00
2019-04-21;5,00;1,67;15,00;1,67;8,33;4,00;4,00;6,00;2,00
2019-04-28;6,00;10,00;16,00;2,00;6,00;2,00;7,00;6,00;2,00
2019-05-05;5,00;3,33;8,33;1,67;5,00;4,00;3,00;6,00;2,00
2019-05-12;5,00;5,00;2,50;1,25;7,50;1,00;1,00;5,00;2,00
2019-05-19;4,00;8,00;8,00;1,00;4,00;2,00;3,00;4,00;3,00
2019-05-26;3,00;1,50;3,00;1,50;3,00;2,00;5,00;5,00;2,00
2019-06-02;3,00;3,00;4,50;0,75;3,00;1,00;3,00;6,00;2,00
2019-06-09;5,00;10,00;12,50;2,50;7,50;3,00;7,00;5,00;2,00
2019-06-16;5,00;6,67;10,00;1,67;3,33;2,00;2,00;5,00;3,00
2019-06-23;4,00;4,00;4,00;2,00;4,00;4,00;5,00;6,00;3,00
2019-06-30;4,00;6,00;6,00;2,00;4,00;3,00;4,00;5,00;2,00
