Tout_inclus;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;78,00;57,00;39,00;38,00;10,00;33,43;65,00;185,71;79,86
2019-01-13;69,00;47,00;37,00;40,00;10,00;31,70;63,41;162,24;82,05
2019-01-20;67,00;39,00;34,00;37,00;11,00;31,64;76,31;152,61;78,17
2019-01-27;69,00;45,00;34,00;35,00;11,00;29,84;74,59;123,08;74,59
2019-02-03;81,00;50,00;45,00;28,00;7,00;30,14;58,40;129,98;69,70
2019-02-10;96,00;32,00;40,00;27,00;11,00;28,24;50,82;116,71;65,88
2019-02-17;100,00;43,00;41,00;24,00;8,00;24,53;58,49;124,53;81,13
2019-02-24;78,00;36,00;22,00;28,00;10,00;34,24;78,00;114,15;78,00
2019-03-03;78,00;24,00;24,00;28,00;12,00;26,63;49,46;106,54;74,20
2019-03-10;64,00;40,00;32,00;26,00;10,00;30,12;58,35;101,65;73,41
2019-03-17;65,00;37,00;28,00;22,00;8,00;30,59;47,79;120,44;66,91
2019-03-24;60,00;33,00;28,00;25,00;15,00;28,13;30,00;106,88;69,38
2019-03-31;61,00;36,00;25,00;19,00;9,00;24,78;47,66;112,47;64,81
2019-04-07;66,00;29,00;28,00;26,00;14,00;30,17;50,91;122,57;56,57
2019-04-14;59,00;33,00;19,00;27,00;13,00;24,74;41,87;114,19;57,10
2019-04-21;54,00;16,00;25,00;26,00;8,00;38,57;44,36;136,93;59,79
2019-04-28;63,00;33,00;34,00;27,00;13,00;24,82;68,73;143,18;55,36
2019-05-05;48,00;39,00;27,00;27,00;12,00;29,54;51,69;125,54;49,85
2019-05-12;46,00;62,00;20,00;25,00;14,00;28,75;47,92;132,25;51,75
2019-05-19;53,00;27,00;40,00;27,00;17,00;26,50;47,32;141,96;54,89
2019-05-26;49,00;44,00;37,00;31,00;12,00;32,04;52,77;145,12;62,19
2019-06-02;47,00;39,00;35,00;30,00;17,00;41,36;65,80;144,76;58,28
2019-06-09;62,00;51,00;35,00;47,00;17,00;39,45;58,24;154,06;60,12
2019-06-16;67,00;49,00;40,00;37,00;19,00;40,94;40,94;154,47;65,14
2019-06-23;59,00;57,00;62,00;41,00;19,00;51,39;51,39;148,45;57,10
2019-06-30;65,00;50,00;60,00;43,00;21,00;47,79;70,74;162,50;55,44
2019-07-07;68,00;84,00;37,00;41,00;21,00;51,00;71,78;158,67;54,78
2019-07-14;79,00;69,00;36,00;46,00;28,00;45,14;60,19;165,52;54,55
2019-07-21;78,00;56,00;40,00;42,00;16,00;51,37;72,29;163,61;58,98
2019-07-28;89,00;61,00;37,00;39,00;20,00;58,70;87,11;151,49;51,13
2019-08-04;77,00;62,00;37,00;39,00;27,00;48,83;90,15;150,24;48,83
2019-08-11;76,00;58,00;34,00;38,00;15,00;43,70;64,60;148,20;49,40
2019-08-18;66,00;55,00;42,00;34,00;21,00;37,71;64,11;141,43;45,26
2019-08-25;53,00;39,00;28,00;37,00;15,00;34,07;56,79;143,86;43,54
2019-09-01;43,00;45,00;21,00;30,00;13,00;22,43;48,61;127,13;44,87
2019-09-08;40,00;30,00;15,00;30,00;17,00;20,95;40,00;133,33;40,00
2019-09-15;42,00;30,00;32,00;28,00;15,00;21,00;59,18;139,36;45,82
2019-09-22;51,00;28,00;24,00;32,00;17,00;17,00;34,00;154,89;43,44
2019-09-29;42,00;32,00;30,00;27,00;9,00;15,27;30,55;118,36;47,73
2019-10-06;37,00;35,00;10,00;19,00;7,00;12,95;46,25;105,45;42,55
2019-10-13;39,00;22,00;22,00;22,00;7,00;13,00;48,29;92,86;40,86
2019-10-20;37,00;39,00;14,00;24,00;10,00;9,74;40,89;83,74;44,79
