Train;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;58,00;6,00;14,00;4,00;2,00;4,00;88,00;88,00;6,00
2019-01-13;58,00;12,00;3,00;5,00;2,00;4,00;96,00;84,00;6,00
2019-01-20;60,00;9,00;0,00;3,00;4,00;2,00;96,00;80,00;6,00
2019-01-27;57,00;14,00;13,00;2,00;3,00;5,90;104,17;68,79;5,90
2019-02-03;57,00;6,00;28,00;4,00;8,00;5,90;159,21;92,38;5,90
2019-02-10;68,00;12,00;11,00;3,00;4,00;3,89;149,60;89,37;5,83
2019-02-17;71,00;6,00;4,00;6,00;4,00;7,89;138,06;96,64;5,92
2019-02-24;73,00;15,00;4,00;3,00;4,00;3,95;122,32;84,84;5,92
2019-03-03;71,00;12,00;13,00;4,00;2,00;11,83;108,47;90,72;5,92
2019-03-10;64,00;21,00;17,00;5,00;3,00;8,00;94,00;82,00;6,00
2019-03-17;73,00;9,00;11,00;5,00;2,00;5,92;100,62;84,84;5,92
2019-03-24;67,00;22,00;4,00;3,00;4,00;5,91;120,21;84,74;5,91
2019-03-31;69,00;12,00;14,00;4,00;1,00;1,97;134,06;84,77;5,91
2019-04-07;81,00;22,00;17,00;6,00;0,00;3,95;148,17;84,95;7,90
2019-04-14;72,00;20,00;19,00;5,00;4,00;2,00;166,00;102,00;8,00
2019-04-21;64,00;16,00;8,00;5,00;4,00;10,00;170,00;84,00;6,00
2019-04-28;66,00;6,00;10,00;4,00;8,00;5,82;151,41;85,41;5,82
2019-05-05;54,00;17,00;14,00;4,00;4,00;6,00;116,00;90,00;8,00
2019-05-12;50,00;15,00;3,00;6,00;2,00;6,00;106,00;82,00;8,00
2019-05-19;66,00;6,00;24,00;6,00;2,00;8,00;124,00;100,00;8,00
2019-05-26;69,00;18,00;15,00;4,00;1,00;9,86;134,06;90,69;7,89
2019-06-02;69,00;17,00;17,00;5,00;5,00;7,89;130,11;82,80;7,89
2019-06-09;60,00;6,00;18,00;8,00;1,00;13,55;141,29;87,10;7,74
2019-06-16;71,00;12,00;14,00;4,00;7,00;7,89;128,19;92,69;7,89
2019-06-23;78,00;10,00;11,00;3,00;3,00;6,00;150,00;88,00;8,00
