Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;65,00;61,00;71,00;70,00;71,00;56,42;60,09;52,74;33,11
2019-01-13;59,00;51,00;56,00;66,00;62,00;54,08;56,54;46,71;33,19
2019-01-20;58,00;57,00;66,00;59,00;65,00;51,83;46,89;48,13;32,09
2019-01-27;47,00;48,00;59,00;62,00;69,00;54,42;42,05;44,53;30,92
2019-02-03;46,00;35,00;53,00;54,00;72,00;49,63;35,11;44,79;27,84
2019-02-10;45,00;48,00;53,00;55,00;68,00;47,43;36,49;42,57;29,19
2019-02-17;49,00;39,00;50,00;48,00;68,00;50,23;39,20;47,78;30,63
2019-02-24;57,00;40,00;51,00;48,00;72,00;50,94;33,96;43,66;31,53
2019-03-03;47,00;46,00;51,00;48,00;71,00;48,24;34,63;47,00;33,39
2019-03-10;42,00;34,00;50,00;48,00;73,00;51,88;35,82;45,71;32,12
2019-03-17;46,00;40,00;49,00;50,00;69,00;49,73;32,32;46,00;31,08
2019-03-24;44,00;37,00;48,00;43,00;74,00;52,80;31,43;45,26;30,17
2019-03-31;57,00;49,00;46,00;39,00;64,00;53,28;29,74;44,61;30,98
2019-04-07;58,00;50,00;58,00;41,00;70,00;53,06;35,79;50,60;29,62
2019-04-14;55,00;39,00;55,00;41,00;64,00;51,33;35,44;42,78;29,33
2019-04-21;55,00;52,00;45,00;45,00;58,00;56,22;37,89;45,22;29,33
2019-04-28;52,00;38,00;56,00;43,00;56,00;54,42;42,33;44,74;27,81
2019-05-05;52,00;46,00;54,00;42,00;66,00;52,00;37,14;45,81;27,24
2019-05-12;50,00;45,00;53,00;43,00;63,00;53,75;40,00;45,00;31,25
2019-05-19;50,00;38,00;52,00;42,00;63,00;51,25;37,50;50,00;32,50
2019-05-26;48,00;35,00;57,00;43,00;66,00;45,54;38,15;45,54;32,00
2019-06-02;46,00;44,00;51,00;44,00;69,00;55,68;37,53;48,42;33,89
2019-06-09;52,00;49,00;60,00;49,00;74,00;60,47;36,28;48,37;33,86
2019-06-16;55,00;42,00;48,00;48,00;74,00;63,56;36,67;44,00;35,44
2019-06-23;51,00;49,00;53,00;42,00;80,00;68,00;34,00;48,57;35,21
2019-06-30;55,00;52,00;65,00;54,00;88,00;64,78;40,33;50,11;31,78
2019-07-07;59,00;60,00;63,00;59,00;85,00;66,38;49,17;50,40;33,19
2019-07-14;62,00;61,00;63,00;56,00;82,00;66,96;52,08;50,84;32,24
2019-07-21;60,00;48,00;61,00;53,00;86,00;73,47;42,86;52,65;33,06
2019-07-28;75,00;55,00;64,00;50,00;96,00;72,54;51,64;51,64;31,97
2019-08-04;69,00;57,00;57,00;52,00;85,00;72,70;45,59;52,98;30,80
2019-08-11;67,00;58,00;60,00;55,00;79,00;68,22;45,07;51,16;31,67
2019-08-18;58,00;56,00;58,00;49,00;80,00;62,94;45,66;54,30;29,62
2019-08-25;52,00;42,00;54,00;47,00;67,00;56,95;40,86;47,05;28,48
2019-09-01;52,00;47,00;64,00;49,00;69,00;58,19;40,86;47,05;27,24
2019-09-08;48,00;40,00;60,00;47,00;60,00;48,00;39,38;51,69;27,08
2019-09-15;52,00;46,00;56,00;47,00;62,00;47,16;41,12;49,58;27,81
2019-09-22;54,00;46,00;54,00;100,00;66,00;45,41;45,41;51,55;29,45
2019-09-29;47,00;41,00;55,00;52,00;66,00;48,24;38,34;45,76;28,45
2019-10-06;46,00;47,00;52,00;49,00;67,00;47,21;37,53;49,63;25,42
2019-10-13;49,00;44,00;55,00;49,00;67,00;45,33;39,20;47,78;26,95
2019-10-20;50,00;45,00;48,00;45,00;59,00;48,75;40,00;42,50;27,50
2019-10-27;45,00;46,00;42,00;44,00;52,00;42,57;38,92;40,14;25,54
2019-11-03;47,00;44,00;49,00;45,00;56,00;48,24;40,82;40,82;27,21
2019-11-10;44,00;51,00;42,00;42,00;50,00;46,44;31,78;40,33;25,67
2019-11-17;45,00;43,00;44,00;40,00;56,00;45,00;35,27;35,27;26,76
2019-11-24;43,00;40,00;49,00;38,00;56,00;45,46;34,40;38,09;25,80
2019-12-01;40,00;37,00;45,00;34,00;51,00;41,21;32,73;36,36;29,09
2019-12-08;39,00;43,00;42,00;38,00;54,00;37,78;31,69;37,78;26,81
2019-12-15;45,00;37,00;48,00;35,00;43,00;43,75;36,25;45,00;30,00
2019-12-22;51,00;49,00;65,00;51,00;52,00;52,21;40,07;46,14;31,57
2019-12-29;65,00;62,00;64,00;62,00;63,00;57,64;46,60;52,74;35,57
2020-01-05;62,00;68,00;65,00;65,00;69,00;54,71;48,63;59,57;36,47
2020-01-12;60,00;57,00;62,00;62,00;69,00;57,55;56,33;53,88;36,73
2020-01-19;60,00;57,00;62,00;57,00;69,00;56,33;52,65;52,65;35,51
2020-01-26;57,00;53,00;56,00;53,00;66,00;48,51;43,66;54,57;32,74
2020-02-02;57,00;50,00;54,00;51,00;61,00;45,85;42,13;52,04;33,46
2020-02-09;57,00;50,00;53,00;45,00;63,00;47,09;38,41;60,72;33,46
2020-02-16;63,00;44,00;42,00;44,00;64,00;46,94;39,53;53,12;34,59
2020-02-23;60,00;48,00;49,00;43,00;60,00;48,75;40,00;77,50;43,75
2020-03-01;49,00;43,00;49,00;43,00;54,00;46,55;34,30;69,83;45,33
2020-03-08;56,00;57,00;64,00;62,00;61,00;24,35;47,48;121,74;70,61
2020-03-15;26,00;30,00;38,00;47,00;28,00;14,86;33,43;82,95;47,05
2020-03-22;20,00;17,00;18,00;21,00;21,00;12,50;18,75;30,00;22,50
2020-03-29;22,00;23,00;15,00;24,00;19,00;12,22;14,67;22,00;19,56
2020-04-05;18,00;21,00;18,00;24,00;19,00;13,20;14,40;22,80;16,80
2020-04-12;18,00;17,00;26,00;29,00;23,00;16,71;18,00;23,14;19,29
2020-04-19;17,00;19,00;24,00;27,00;18,00;15,79;15,79;24,29;18,21
2020-04-26;17,00;18,00;31,00;29,00;26,00;17,00;19,43;24,29;18,21
2020-05-03;19,00;21,00;26,00;30,00;30,00;20,27;21,53;26,60;22,80
2020-05-10;17,00;23,00;31,00;31,00;30,00;19,43;27,93;32,79;23,07
2020-05-17;19,00;18,00;36,00;36,00;32,00;22,80;26,60;34,20;27,87
2020-05-24;24,00;27,00;38,00;32,00;37,00;20,40;22,80;32,40;24,00
2020-05-31;29,00;42,00;47,00;40,00;37,00;29,00;33,83;33,83;24,17
2020-06-07;29,00;39,00;45,00;41,00;37,00;31,42;27,79;32,63;29,00
2020-06-14;34,00;39,00;45,00;37,00;42,00;35,21;27,93;38,86;31,57
2020-06-21;36,00;39,00;43,00;36,00;37,00;38,48;33,52;40,97;34,76
2020-06-28;37,00;49,00;54,00;37,00;41,00;41,93;37,00;61,67;37,00
2020-07-05;36,00;50,00;39,00;40,00;37,00;43,45;33,52;49,66;36,00
