Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;29,00;10,00;5,00;8,00;13,00;9,00;13,00;0,50;0,50
2019-01-13;28,00;14,00;11,00;8,00;17,00;12,00;10,00;0,50;0,50
2019-01-20;28,00;11,00;7,00;8,00;18,00;11,00;8,00;1,00;0,50
2019-01-27;23,00;8,00;9,00;7,00;17,00;7,00;5,00;0,50;0,50
2019-02-03;26,00;7,00;9,00;8,00;14,00;5,00;3,00;0,50;0,50
2019-02-10;27,00;7,00;6,00;7,00;14,00;5,00;4,00;0,50;0,50
2019-02-17;24,00;3,00;5,00;10,00;14,00;8,00;4,00;1,00;0,50
2019-02-24;24,00;8,00;6,00;8,00;15,00;7,00;4,00;0,50;0,50
2019-03-03;24,00;5,00;1,00;9,00;15,00;7,00;4,00;0,50;0,50
2019-03-10;24,00;7,00;8,00;10,00;19,00;6,00;2,00;0,50;0,50
2019-03-17;28,00;4,00;8,00;7,00;14,00;9,00;2,00;0,50;0,50
2019-03-24;27,00;8,00;5,00;8,00;16,00;6,00;3,00;0,00;0,50
2019-03-31;30,00;6,00;11,00;7,00;19,00;16,00;11,00;0,50;0,50
2019-04-07;36,00;13,00;13,00;8,00;14,00;11,00;10,00;0,50;0,50
2019-04-14;39,00;11,00;13,00;5,00;15,00;7,00;10,00;0,50;0,50
2019-04-21;32,00;11,00;10,00;6,00;13,00;10,00;7,00;0,50;0,50
2019-04-28;30,00;12,00;14,00;7,00;12,00;11,00;6,00;0,50;0,50
2019-05-05;29,00;8,00;11,00;8,00;14,00;11,00;6,00;0,50;0,50
2019-05-12;29,00;11,00;7,00;8,00;17,00;11,00;11,00;1,00;0,50
2019-05-19;31,00;11,00;10,00;8,00;16,00;13,00;11,00;1,00;0,50
2019-05-26;31,00;11,00;12,00;9,00;15,00;11,00;7,00;0,50;0,50
2019-06-02;29,00;12,00;14,00;6,00;19,00;11,00;7,00;1,00;0,50
2019-06-09;25,00;13,00;11,00;6,00;20,00;12,00;6,00;0,50;0,50
2019-06-16;20,00;12,00;9,00;8,00;17,00;14,00;9,00;0,50;0,50
2019-06-23;20,00;17,00;10,00;6,00;17,00;16,00;7,00;0,50;0,50
2019-06-30;21,00;8,00;10,00;6,00;20,00;14,00;6,00;0,50;0,50
2019-07-07;26,00;12,00;6,00;8,00;20,00;17,00;8,00;0,50;0,50
2019-07-14;24,00;12,00;2,00;7,00;14,00;12,00;7,00;0,50;0,50
2019-07-21;25,00;13,00;7,00;6,00;16,00;21,00;6,00;1,00;0,50
2019-07-28;30,00;17,00;7,00;7,00;20,00;12,00;13,00;0,50;0,50
2019-08-04;32,00;13,00;8,00;8,00;19,00;13,00;11,00;1,00;0,50
2019-08-11;31,00;8,00;7,00;9,00;15,00;16,00;8,00;1,00;0,50
2019-08-18;30,00;12,00;9,00;6,00;17,00;16,00;10,00;0,50;0,50
2019-08-25;27,00;13,00;15,00;8,00;18,00;14,00;9,00;0,50;0,50
2019-09-01;29,00;13,00;16,00;9,00;17,00;16,00;10,00;1,00;0,50
2019-09-08;28,00;13,00;9,00;8,00;18,00;12,00;11,00;2,00;1,00
2019-09-15;26,00;14,00;11,00;7,00;21,00;15,00;10,00;1,00;1,00
2019-09-22;28,00;13,00;12,00;8,00;19,00;12,00;10,00;1,00;1,00
2019-09-29;29,00;11,00;6,00;8,00;15,00;13,00;10,00;0,50;0,50
2019-10-06;35,00;20,00;9,00;8,00;19,00;13,00;10,00;1,00;0,50
2019-10-13;33,00;11,00;13,00;8,00;18,00;14,00;10,00;0,50;0,50
2019-10-20;30,00;13,00;7,00;7,00;16,00;13,00;7,00;0,50;0,50
2019-10-27;33,00;19,00;8,00;7,00;18,00;14,00;7,00;1,00;0,50
2019-11-03;33,00;12,00;9,00;6,00;15,00;12,00;9,00;1,00;0,50
2019-11-10;24,00;16,00;7,00;9,00;15,00;11,00;10,00;1,00;0,50
2019-11-17;24,00;6,00;4,00;6,00;17,00;8,00;10,00;1,00;1,00
2019-11-24;28,00;6,00;8,00;7,00;15,00;10,00;7,00;0,50;0,50
2019-12-01;25,00;9,00;8,00;4,00;12,00;10,00;5,00;1,00;0,50
2019-12-08;25,00;11,00;9,00;7,00;13,00;8,00;3,00;1,00;1,00
2019-12-15;26,00;12,00;6,00;5,00;10,00;8,00;5,00;1,00;0,50
2019-12-22;24,00;9,00;7,00;6,00;10,00;6,00;7,00;1,00;0,50
2019-12-29;26,00;13,00;7,00;6,00;13,00;8,00;9,00;1,00;1,00
2020-01-05;29,00;11,00;10,00;5,00;16,00;10,00;11,00;1,00;1,00
2020-01-12;31,00;14,00;12,00;6,00;20,00;10,00;13,00;0,50;1,00
2020-01-19;32,00;19,00;6,00;6,00;19,00;12,00;7,00;1,00;1,00
2020-01-26;34,00;13,00;10,00;7,00;15,00;11,00;9,00;1,00;0,50
2020-02-02;30,00;10,00;8,00;7,00;19,00;8,00;11,00;1,00;0,50
2020-02-09;33,00;12,00;10,00;7,00;17,00;8,00;9,00;0,50;0,50
2020-02-16;33,00;13,00;5,00;8,00;16,00;10,00;9,00;1,00;0,50
2020-02-23;24,00;12,00;10,00;6,00;16,00;6,00;6,00;0,50;1,00
